strCommand	strComments	Level	validTarget	setCombatTarget	strAnimationAction	intUseAbsoluteAnimation	intLeftFoot	intRightFoot	intRightHand	intLeftHand	intWeapon	strCombatSpam	intWeaponType	speedMods	damageMods	costMods	toHitMods	blockMods	evadeMods	counterMods	intAttackType	fltConeLength	fltConeWidth	fltRange	baseTimeMod	darkTimeBonus	lightTimeBonus	baseDamageMod	damageRankBonus	intUseWeaponForcePower	intJediPowerCost	forceCostRankBonus	fltForceMultiplier	intVisibilityValue	intVisibilityRange	intBaseToHit	intBlockMod	intEvadeMod	intCounterAttackMod	intAttackerEndPosture	intDefenderEndPosture	intBleedingChance	intChanceToApplyEffect	intNumberOfStatesToApply	intEffect1	fltEffectDuration1	durationRankBonus1	intEffect2	fltEffectDuration2	durationRankBonus2	intEffect3	fltEffectDuration3	durationRankBonus3	intHitHead	intHitBody	intHitLegs	fltBleedingValue	intBleedingDuration	intBleedMind	intBleedHealth	intBleedAction	intOverloadWeapon	damageTarget	intMinDamage	intMaxDamage	fltMidRange	fltMaxRange	intMinRangeMod	intZeroRangeMod	intMaxRangeMod	fltAttackSpeed	intHealthCost	intMindCost	intActionCost	intDamageType	intDamageRating
forceLightningCone2	damage area + dizzy		STANDARD	0	$force_lightning_1_arc_particle_level_[private_force_lightning_single_power:5]	0	OFF	OFF	OFF	OFF	OFF	forcelightningcone2	FORCE_POWER				forcelightning_accuracy				CONE	32	30	32	1	0	0	1	0	0	250	0		50	32	30				POSTURE_NONE	POSTURE_NONE		45	1	STATE_DIZZY	60	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	1	600	1200	0	32	0	0	0	5	0	0	0	DAMAAGE_ENVIRONMENTAL_ELECTRICAL	ARMOR_LIGHT
forceThrow1	"throws junk at target, damage"		STANDARD	0	force_throw_1_particle_level_1	0	OFF	OFF	OFF	OFF	OFF	forcethrow1	FORCE_POWER				forcethrow_accuracy				SINGLE_TARGET			32	1	0	0	1	0	0	28	0		50	32	30				POSTURE_NONE	POSTURE_NONE		45	1	STATE_STUNNED	45	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	1	150	300	0	32	0	0	0	5	0	0	0	DAMAGE_KINETIC	ARMOR_LIGHT
forceThrow2	throws lots of junk at area around target		STANDARD	0	force_throw_1_particle_level_1	0	OFF	OFF	OFF	OFF	OFF	forcethrow2	FORCE_POWER				forcethrow_accuracy				CONE	32	30	32	1	0	0	1	0	0	56	0		50	32	30				POSTURE_NONE	POSTURE_NONE		65	1	STATE_STUNNED	45	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	1	250	500	0	32	0	0	0	5	0	0	0	DAMAGE_KINETIC	ARMOR_LIGHT
forceKnockdown1	knockdown single		MOB	0	force_knockdown_1_particle_level_1	1	OFF	OFF	OFF	OFF	OFF	forceknockdown1	FORCE_POWER				forceknockdown_accuracy				SINGLE_TARGET			32	1	0	0	1	0	0	50	0		50	32	30				POSTURE_NONE	POSTURE_KNOCKED_DOWN				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	0	75	150	0	32	0	0	0	5	0	0	0		
forceKnockdown2	knockdown cone		MOB	0	force_knockdown_1_arc_particle_level_1	1	OFF	OFF	OFF	OFF	OFF	forceknockdown2	FORCE_POWER				forceknockdown_accuracy				CONE	32	30	32	1	0	0	1	0	0	100	0		50	32	30				POSTURE_NONE	POSTURE_KNOCKED_DOWN				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	0	75	150	0	32	0	0	0	5	0	0	0		
forceKnockdown3	knockdown area		MOB	0	force_knockdown_1_arc_particle_level_1	1	OFF	OFF	OFF	OFF	OFF	forceknockdown3	FORCE_POWER				forceknockdown_accuracy				AREA	32	30	32	1	0	0	1	0	0	200	0		50	32	30				POSTURE_NONE	POSTURE_KNOCKED_DOWN				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	0	75	150	0	32	0	0	0	5	0	0	0		
mindBlast1	stun/blind/dizzy combo		MOB	0	force_mind_blast_1_particle_level_1	0	OFF	OFF	OFF	OFF	OFF	mindblast1	FORCE_POWER				mindblast_accuracy				SINGLE_TARGET			32	1	0	0	1	0	0	68	0		50	32	30				POSTURE_NONE	POSTURE_NONE		75	3	STATE_DIZZY	60	0	STATE_BLINDED	60	0	STATE_STUNNED	60	0	0	0	0	0	0	0	0	0	1	1	125	250	0	32	0	0	0	5	0	0	0	DAMAGE_RESTRAINT	ARMOR_LIGHT
mindBlast2	stun/blind/dizzy combo		MOB	0	force_mind_blast_1_particle_level_1	0	OFF	OFF	OFF	OFF	OFF	mindblast2	FORCE_POWER				mindblast_accuracy				CONE	32	30	32	1	0	0	1	0	0	160	0		50	32	30				POSTURE_NONE	POSTURE_NONE		75	3	STATE_DIZZY	60	0	STATE_BLINDED	60	0	STATE_STUNNED	60	0	0	0	0	0	0	0	0	0	1	1	200	400	0	32	0	0	0	5	0	0	0	DAMAGE_RESTRAINT	ARMOR_LIGHT
forceWeaken1	debuff		MOB	0	force_weaken_1_particle_level_1	0	OFF	OFF	OFF	OFF	OFF	forceweaken1	FORCE_POWER				forceweaken_accuracy				SINGLE_TARGET			32	1	0	0	1	0	0	200	0		50	32	30				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	0	150	300	0	32	0	0	0	5	0	0	0		
forceWeaken2	mega debuff		MOB	0	force_weaken_1_particle_level_1	0	OFF	OFF	OFF	OFF	OFF	forceweaken2	FORCE_POWER				forceweaken_accuracy				SINGLE_TARGET			32	1	0	0	1	0	0	400	0		50	32	30				POSTURE_NONE	POSTURE_NONE				STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	0	300	450	0	32	0	0	0	5	0	0	0		
forceChoke	horribly deadly dot on single target		MOB	0	force_choke_1_particle_level_1	0	OFF	OFF	OFF	OFF	OFF		FORCE_POWER								SINGLE_TARGET			32	1	0	0	1	0	0	400	0		50	32	150				POSTURE_NONE	POSTURE_NONE		0	0	STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	0	175	375	0	32	0	0	0	5	0	0	0	DAMAGE_RESTRAINT	ARMOR_LIGHT
animalCalm	removes aggro from target		CREATURE	1	mind_trick_1	1	OFF	OFF	OFF	OFF	OFF		FORCE_POWER								SINGLE_TARGET			32	1	0	0	1	0	0	50	0		50	32	150				POSTURE_NONE	POSTURE_NONE		0	0	STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	32	0	0	0	5	0	0	0		
animalAttack	Makes lookattarget attack combat target		CREATURE	1	mind_trick_1	1	OFF	OFF	OFF	OFF	OFF		FORCE_POWER								SINGLE_TARGET			32	1	0	0	1	0	0	150	0		50	32	150				POSTURE_NONE	POSTURE_NONE		0	0	STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	32	0	0	0	5	0	0	0		
animalScare	makes animals run away		CREATURE	1	mind_trick_1	1	OFF	OFF	OFF	OFF	OFF		FORCE_POWER								SINGLE_TARGET			32	1	0	0	1	0	0	200	0		50	32	150				POSTURE_NONE	POSTURE_NONE		0	0	STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	32	0	0	0	5	0	0	0		
jediMindTrick	Makes tamed creature untamed		CREATURE	1	mind_trick_1	1	OFF	OFF	OFF	OFF	OFF		FORCE_POWER								SINGLE_TARGET			32	1	0	0	1	0	0	600	0		50	32	150				POSTURE_NONE	POSTURE_NONE		0	0	STATE_NONE	0	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	32	0	0	0	5	0	0	0		
forceIntimidate1	Intimidate radius		PVP	0	force_intimidate	1	OFF	OFF	OFF	OFF	OFF	forceIntimidate1	FORCE_POWER				forceintimidate_accuracy				CONE	32	15	32	1	0	0	1	0	0	300	0		50	32	150				POSTURE_NONE	POSTURE_NONE		100	1	STATE_INTIMIDATED	60	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	32	0	0	0	5	0	0	0		
forceIntimidate2	Intimidate radius		PVP	0	force_intimidate	1	OFF	OFF	OFF	OFF	OFF	forceIntimidate2	FORCE_POWER				forceintimidate_accuracy				AREA	32	15	32	1	0	0	1	0	0	500	0		50	32	150				POSTURE_NONE	POSTURE_NONE		100	1	STATE_INTIMIDATED	90	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	32	0	0	0	5	0	0	0		
drainForce	drain target force pool		JEDI	0	force_drain_1	1	OFF	OFF	OFF	OFF	OFF		FORCE_POWER								SINGLE_TARGET			32	1	0	0	1	0	0	50	0		50	32	150				POSTURE_NONE	POSTURE_NONE		100	1	STATE_STUNNED	30	0	STATE_NONE	0	0	STATE_NONE	0	0	0	0	0	0	0	0	0	0	1	0	0	250	0	32	0	0	0	5	0	0	0	DAMAGE_RESTRAINT	ARMOR_LIGHT
