intLevel	intMinValue	intMaxValue	Pistol DPS	pistol_attack_speed	pistol_max_range	pistol_average_damage	pistol_min_damage	pistol_min_damage_min	pistol_min_damage_max	pistol_max_damage	pistol_max_damage_min	pistol_max_damage_max	Carbine DPS	carbine_attack_speed	carbine_max_range	carbine_average_damage	carbine_min_damage	carbine_min_damage_min	carbine_min_damage_max	carbine_max_damage	carbine_max_damage_min	carbine_max_damage_max	Rifle DPS	rifle_attack_speed	rifle_max_range	rifle_average_damage	rifle_min_damage	rifle_min_damage_min	rifle_min_damage_max	rifle_max_damage	rifle_max_damage_min	rifle_max_damage_max	onehandmelee sword DPS	onehandmelee_attack_speed	onehandmelee_max_range	onehandmelee_average_damage	onehandmelee_min_damage	onehandmelee_min_damage_min	onehandmelee_min_damage_max	onehandmelee_max_damage	onehandmelee_max_damage_min	onehandmelee_max_damage_max	twohandmelee sword DPS	twohandmelee_attack_speed	twohandmelee_max_range	twohandmelee_average_damage	twohandmelee_min_damage	twohandmelee_min_damage_min	twohandmelee_min_damage_max	twohandmelee_max_damage	twohandmelee_max_damage_min	twohandmelee_max_damage_max	polearm sword DPS	polearm_attack_speed	polearm_max_range	polearm_average_damage	polearm_min_damage	polearm_min_damage_min	polearm_min_damage_max	polearm_max_damage	polearm_max_damage_min	polearm_max_damage_max	unarmed sword DPS	unarmed_attack_speed	unarmed_max_range	unarmed_average_damage	unarmed_min_damage	unarmed_min_damage_min	unarmed_min_damage_max	unarmed_max_damage	unarmed_max_damage_min	unarmed_max_damage_max
80	8000	8150	803	0.4	35	321	161	80	120	482	241	488	803	0.6	35	482	241	120	181	723	361	732	803	0.8	64	642	321	161	241	964	482	976	850	1	5	850	425	213	319	1275	638	1292	850	1	5	850	425	213	319	1275	638	1292	850	1	5	850	425	213	319	1275	638	1292	850	1	5	850	425	213	319	1275	638	1292
81	8100	8250	813	0.4	35	325	163	81	122	488	244	494	813	0.6	35	488	244	122	183	732	366	741	813	0.8	64	650	325	163	244	976	488	988	861	1	5	861	431	215	323	1292	646	1308	861	1	5	861	431	215	323	1292	646	1308	861	1	5	861	431	215	323	1292	646	1308	861	1	5	861	431	215	323	1292	646	1308
82	8200	8350	823	0.4	35	329	165	82	123	494	247	500	823	0.6	35	494	247	123	185	741	370	750	823	0.8	64	658	329	165	247	988	494	1000	872	1	5	872	436	218	327	1308	654	1325	872	1	5	872	436	218	327	1308	654	1325	872	1	5	872	436	218	327	1308	654	1325	872	1	5	872	436	218	327	1308	654	1325
83	8300	8450	833	0.4	35	333	167	83	125	500	250	506	833	0.6	35	500	250	125	187	750	375	759	833	0.8	64	666	333	167	250	1000	500	1012	883	1	5	883	442	221	331	1325	662	1341	883	1	5	883	442	221	331	1325	662	1341	883	1	5	883	442	221	331	1325	662	1341	883	1	5	883	442	221	331	1325	662	1341
84	8400	8550	843	0.4	35	337	169	84	126	506	253	512	843	0.6	35	506	253	126	190	759	379	768	843	0.8	64	674	337	169	253	1012	506	1024	894	1	5	894	447	224	335	1341	671	1358	894	1	5	894	447	224	335	1341	671	1358	894	1	5	894	447	224	335	1341	671	1358	894	1	5	894	447	224	335	1341	671	1358
85	8500	8650	853	0.4	35	341	171	85	128	512	256	518	853	0.6	35	512	256	128	192	768	384	777	853	0.8	64	682	341	171	256	1024	512	1036	905	1	5	905	453	226	339	1358	679	1374	905	1	5	905	453	226	339	1358	679	1374	905	1	5	905	453	226	339	1358	679	1374	905	1	5	905	453	226	339	1358	679	1374
86	8600	8750	863	0.4	35	345	173	86	129	518	259	524	863	0.6	35	518	259	129	194	777	388	786	863	0.8	64	690	345	173	259	1036	518	1048	916	1	5	916	458	229	344	1374	687	1391	916	1	5	916	458	229	344	1374	687	1391	916	1	5	916	458	229	344	1374	687	1391	916	1	5	916	458	229	344	1374	687	1391
87	8700	8850	873	0.4	35	349	175	87	131	524	262	535	873	0.6	35	524	262	131	196	786	393	802	873	0.8	64	698	349	175	262	1048	524	1069	927	1	5	927	464	232	348	1391	695	1425	927	1	5	927	464	232	348	1391	695	1425	927	1	5	927	464	232	348	1391	695	1425	927	1	5	927	464	232	348	1391	695	1425
88	8800	8950	891	0.4	35	356	178	89	134	535	267	538	891	0.6	35	535	267	134	200	802	401	806	891	0.8	64	712.8	356	178	267	1069	535	1075	950	1	5	950	475	238	356	1425	713	1442	950	1	5	950	475	238	356	1425	713	1442	950	1	5	950	475	238	356	1425	713	1442	950	1	5	950	475	238	356	1425	713	1442
89	8900	9050	896	0.4	35	358	179	90	134	538	269	541	896	0.6	35	538	269	134	202	806	403	811	896	0.8	64	717	358	179	269	1075	538	1081	961	1	5	961	481	240	360	1442	721	1458	961	1	5	961	481	240	360	1442	721	1458	961	1	5	961	481	240	360	1442	721	1458	961	1	5	961	481	240	360	1442	721	1458
90	9000	9150	901	0.4	35	360	180	90	135	541	270	575	901	0.6	35	541	270	135	203	811	405	865	901	0.8	64	721	360	180	270	1081	541	1155	972	1	5	972	486	243	365	1458	729	1555	972	1	5	972	486	243	365	1458	729	1555	972	1	5	972	486	243	365	1458	729	1555	972	1	5	972	486	243	365	1458	729	1555
																																																																								
																																																																								
																																																																								
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
