name	volume	hit_points	min_damage	max_damage	accuracy	damage_type	elemental_type	elemental_damage	attack_speed	wound_chance	special_attack_cost	min_range_distance	max_range_distance	skill_mods	objvars	proc_effect	tier_granted	target_dps	actual_dps
weapon_pistol_drop_lvl60_02_01	1	1000	147	294	0				40	1	100	0	35				lvl60	552	551
weapon_pistol_drop_lvl70_02_01	1	1000	174	348	0				40	1	100	0	35				lvl70	654	653
weapon_pistol_drop_lvl80_02_01	1	1000	205	410	0				40	1	100	0	35				lvl80	770	769
weapon_carbine_drop_lvl10_02_01	1	1000	36	71	0				60	1	100	0	50				lvl10	89	89
weapon_carbine_drop_lvl20_02_01	1	1000	68	136	0				60	1	100	0	50				lvl20	171	170
weapon_carbine_drop_lvl30_02_01	1	1000	101	202	0				60	1	100	0	50				lvl30	253	253
weapon_carbine_drop_lvl40_02_01	1	1000	139	277	0				60	1	100	0	50				lvl40	347	347
weapon_carbine_drop_lvl50_02_01	1	1000	180	359	0				60	1	100	0	50				lvl50	449	449
weapon_carbine_drop_lvl60_02_01	1	1000	221	441	0				60	1	100	0	50				lvl60	552	552
weapon_carbine_drop_lvl70_02_01	1	1000	262	523	0				60	1	100	0	50				lvl70	654	654
weapon_carbine_drop_lvl80_02_01	1	1000	308	616	0				60	1	100	0	50				lvl80	770	770
weapon_rifle_drop_lvl10_02_01	1	1000	48	95	0				80	1	100	0	64				lvl10	89	89
weapon_rifle_drop_lvl20_02_01	1	1000	91	182	0				80	1	100	0	64				lvl20	171	171
weapon_rifle_drop_lvl30_02_01	1	1000	135	270	0				80	1	100	0	64				lvl30	253	253
weapon_rifle_drop_lvl40_02_01	1	1000	185	370	0				80	1	100	0	64				lvl40	347	347
weapon_rifle_drop_lvl50_02_01	1	1000	240	479	0				80	1	100	0	64				lvl50	449	449
weapon_rifle_drop_lvl60_02_01	1	1000	294	588	0				80	1	100	0	64				lvl60	552	551
weapon_rifle_drop_lvl70_02_01	1	1000	349	698	0				80	1	100	0	64				lvl70	654	654
weapon_rifle_drop_lvl80_02_01	1	1000	411	821	0				80	1	100	0	64				lvl80	770	770
weapon_content_heavy_flamer_commando_03_01	1	1000	123	255	0		heat	15	80	1	100	0	20				lvl 26	235	236
weapon_roadmap_lightsaber_02_02	1	1000	200	400	0				100	1	100	0	5		"int:jedi.saber.base_stats.min_dmg=200,int:jedi.saber.base_stats.max_dmg=400,float:jedi.saber.base_stats.speed=1.00,float:jedi.saber.base_stats.wound=1.0,int:jedi.saber.base_stats.attack_cost=100,float:jedi.saber.base_stats.damage=0.0"			300	300
weapon_event_hairtrigger_carbine_03_01	1	1000	343	685	0				60	1	100	0	50	"precision_modified=25,constitution_modified=30"			lvl80	845	857
weapon_publish_gift_27_04_01	1	1000	30	60	0		heat	5	100	1	100	0	64				lvl1	45	45
weapon_borvo_pistol_03_01	1	1000	62	124	0		electric	8	40	1	100	0	35				lvl 25	233	233
weapon_borvo_carbine_03_01	1	1000	93	186	0		electric	12	60	1	100	0	50				lvl 25	233	233
weapon_borvo_rifle_03_01	1	1000	124	248	0		electric	15	80	1	100	0	64				lvl 25	233	233
weapon_content_pistol_lvl33_02_01	1	1000	87	173	0				40	1	100	0	35	precision_modified=12			lvl 35 content	325	325
weapon_mandalorian_lightsaber_04_01	1	1000	700	1400	0				100	1	100	0	5	"strength_modified=10,constitution_modified=5"	"int:jedi.saber.base_stats.min_dmg=700,int:jedi.saber.base_stats.max_dmg=1400,float:jedi.saber.base_stats.speed=1.00,float:jedi.saber.base_stats.wound=1.0,int:jedi.saber.base_stats.attack_cost=100,float:jedi.saber.base_stats.damage=0.0"		hec	1050	1050
weapon_mandalorian_sword_04_01	1	1000	750	1350	0	kinetic			100	1	100	0	5	"strength_modified=10,constitution_modified=5"			hec	1050	1050
weapon_mandalorian_pistol_04_01	1	1000	270	510	0				40	1	100	0	35	"precision_modified=10,constitution_modified=5"			hec	975	975
weapon_mandalorian_carbine_04_01	1	1000	415	755	0				60	1	100	0	50	"precision_modified=10,constitution_modified=5"			hec	975	975
weapon_mandalorian_rifle_04_01	1	1000	530	1030	0				80	1	100	0	64	"precision_modified=10,constitution_modified=5"			hec	975	975
weapon_mandalorian_heavy_04_01	1	1000	800	1300	0	kinetic	electric	50	100	1	100	0	64	"precision_modified=10,constitution_modified=5"	int:wp.canBeDisMantled=1		hec	1050	1050
weapon_rebel_sword_04_01	1	1000	600	1500	0	kinetic			100	1	100	0	5	"strength_modified=10,constitution_modified=5"	int:wp.canBeDisMantled=1		hec	1050	1050
weapon_rebel_pistol_04_01	1	1000	290	450	0		cold	20	40	1	100	0	35	"precision_modified=10,constitution_modified=5"			hec	975	925
weapon_rebel_rifle_04_01	1	1000	560	960	0		cold	20	80	1	100	0	64	"precision_modified=10,constitution_modified=5"			hec	975	950
weapon_rebel_heavy_04_01	1	1000	800	1300	0	kinetic	kinetic	50	100	1	100	0	64	"precision_modified=10,constitution_modified=5"	int:wp.canBeDisMantled=1		hec	1050	1050
weapon_content_carbine_talus_selonian_04_01	1	1000	150	307	0	kinetic	electric	10	60	1	100	0	50	precision_modified=10			lvl40	381	381
weapon_content_pistol_talus_slaver_04_01	1	1000	85	220	0		cold	10	40	1	100	0	35	precision_modified=10			lvl30	381	381
weapon_carbine_pvp_imperial_general_reward_06_01	1	1000	431	863	0		heat	23	60	1	100	0	50	precision_modified=15	string:faction_recruiter.faction=Imperial		hec	1078	1078
weapon_pistol_pvp_rebel_general_reward_06_01	1	1000	288	575	0		heat	23	40	1	100	0	35	precision_modified=15	string:faction_recruiter.faction=Rebel		hec	1078	1079
weapon_carbine_pvp_general_reward_06_01	1	3000	389	780	0		cold	20	60	1	100	0	50	"precision_modified=10,constitution_modified=10"	string:faction_recruiter.faction=Rebel	proc_pvp_despair	hec	974	974
weapon_pistol_pvp_general_reward_06_01	1	3000	259	518	0		electric	20	40	1	100	0	35	"precision_modified=10,constitution_modified=10"	string:faction_recruiter.faction=Rebel	proc_pvp_despair	hec	971	971
weapon_rifle_pvp_general_reward_06_01	1	3000	518	1035	0		acid	20	80	1	100	0	64	"precision_modified=10,constitution_modified=10"	string:faction_recruiter.faction=Rebel	proc_pvp_despair	hec	971	971
weapon_heavy_pvp_general_reward_06_01	1	3000	850	1350	0		heat	50	100	1	100	0	64	"precision_modified=10,constitution_modified=20"	string:faction_recruiter.faction=Rebel		hec	1100	1100
weapon_carbine_imperial_pvp_general_reward_06_01	1	3000	389	780	0		cold	20	60	1	100	0	50	"precision_modified=10,constitution_modified=10"	string:faction_recruiter.faction=Imperial	proc_pvp_despair	hec	974	974
weapon_pistol_imperial_pvp_general_reward_06_01	1	3000	259	518	0		electric	20	40	1	100	0	35	"precision_modified=10,constitution_modified=10"	string:faction_recruiter.faction=Imperial	proc_pvp_despair	hec	971	971
weapon_rifle_imperial_pvp_general_reward_06_01	1	3000	518	1035	0		acid	20	80	1	100	0	64	"precision_modified=10,constitution_modified=10"	string:faction_recruiter.faction=Imperial	proc_pvp_despair	hec	971	971
weapon_heavy_imperial_pvp_general_reward_06_01	1	3000	850	1350	0		heat	50	100	1	100	0	64	"precision_modified=10,constitution_modified=20"	string:faction_recruiter.faction=Imperial		hec	1100	1100
weapon_smuggler_reward_pistol_04_01	1	1000	260	520	0		electric	20	40	1	100	0	35	"precision_modified=10,constitution_modified=5"			Lv 88 Reward	920	975
weapon_smuggler_reward_sword_04_01	1	1000	680	1260	0	kinetic	acid	15	100	1	100	0	5	"strength_modified=5,constitution_modified=10"			Lv 88 Reward	1000	970
weapon_smuggler_reward_pistol_dl44_04_01	1	1000	260	520	0		heat	20	40	1	100	0	35	"precision_modified=10,constitution_modified=5"			Lv 88 Reward	920	975
weapon_smuggler_reward_knucklers_04_01	1	1000	640	1300	0	kinetic	acid	15	100	1	100	0	5	"strength_modified=5,constitution_modified=10"			Lv 88 Reward	1020	970
weapon_content_rsf_frag_grenade_02_01	1	1000	325	650	0	kinetic			1000	1	100	0	40		"int:reuseTimer=5,string:effect_class=fragmentation"		everyone can use grenade		49
weapon_ep3_rewards_sword_wookiee_02_01	1	800	597	1193	0	kinetic			100	1	100	0	4				ep3 quest		895
weapon_knuckler_ent_roadmap_02_01	1	1000	75	165	0	kinetic			100	1	100	0	5	strength_modified=2			lvl 14 entertainer roadmap	120	120
weapon_knuckler_ent_roadmap_02_02	1	1000	147	300	0	kinetic			100	1	100	0	5	strength_modified=4			lvl 22 entertainer roadmap	222	224
weapon_knuckler_ent_roadmap_02_03	1	1000	245	450	0	kinetic			100	1	100	0	5	strength_modified=10			lvl 38 entertainer roadmap	347	348
weapon_knuckler_ent_roadmap_02_04	1	1000	190	375	0	kinetic			100	1	100	0	5	strength_modified=5			lvl 30 roadmap	282	283
weapon_a280_blaster_rifle	1	1000	485	980	0	energy			80	1	100	0	64		"string:faction_recruiter.faction=Rebel,int:wp.canBeDisMantled=1"		echo base reward	915	915
weapon_eweb_blaster_rifle	1	1000	485	980	0	energy			80	1	100	0	64		"string:faction_recruiter.faction=Imperial,int:wp.canBeDisMantled=1"		echo base reward	915	915
item_event_loveday_crossbow	1	1000	20	40	0	kinetic			80	1	100	0	64				ewok festival of love reward	38	38
weapon_spy_fist	1	1000	750	1350	0	kinetic			100	1	100	0	5		int:wp.canBeDisMantled=1		pvp BF reward	1050	1050
weapon_magna_guard_polearm_04_01	1	1000	700	1000	0	kinetic	electric	20	100	1	100	0	5		int:wp.canBeDisMantled=1		pvp BF reward	900	890
weapon_westar_pistol_04_01	1	1000	215	425	0	energy	heat	20	40	1	100	0	35		int:wp.canBeDisMantled=1		pvp BF reward	900	900
weapon_westar_rifle_04_01	1	1000	425	945	0	energy	cold	20	80	1	100	0	64		int:wp.canBeDisMantled=1		pvp BF reward	900	906
weapon_heavy_cr1_04_01	1	1000	600	1000	0	kinetic	cold	50	100	1	100	0	64		int:wp.canBeDisMantled=1		pvp BF reward	900	900
weapon_knuckler_buzz_knuck	1	1000	715	1005	0	kinetic	acid	20	100	1	100	0	5		int:wp.canBeDisMantled=1		pvp BF reward	900	900
weapon_carbine_ngant_zarvel_04_01	1	1000	350	650	0	energy	electric	20	60	1	100	0	50		int:wp.canBeDisMantled=1		pvp BF reward	900	900
weapon_sword_1h_pvp_04_01	1	1000	715	1005	0	kinetic	cold	20	100	1	100	0	5		int:wp.canBeDisMantled=1		pvp BF reward	900	900
weapon_sword_2h_pvp_04_01	1	1000	730	990	0	kinetic	acid	20	100	1	100	0	5		int:wp.canBeDisMantled=1		pvp BF reward	900	900
weapon_quest_u10_knuckler_01_02	1	1000	414	828	0	kinetic			100	1	100	0	5	"precision_modified=10,constitution_modified=5"			update 10 quest reward	621	621
weapon_quest_u10_rifle_01_02	1	1000	324	649	0				80	1	100	0	64	"precision_modified=10,constitution_modified=5"			update 10 quest reward	608	607
weapon_quest_u10_pistol_01_02	1	1000	162	324	0				40	1	100	0	35	"precision_modified=10,constitution_modified=5"			update 10 quest reward	608	607
weapon_quest_u10_carbine_01_02	1	1000	244	486	0				60	1	100	0	55	"precision_modified=10,constitution_modified=5"			update 10 quest reward	608	608
weapon_quest_u10_carbine2_01_02	1	1000	244	486	0				60	1	100	0	55	"precision_modified=10,constitution_modified=5"			update 10 quest reward	608	608
weapon_quest_u10_pistol2_01_02	1	1000	162	324	0				40	1	100	0	35	"precision_modified=10,constitution_modified=5"			update 10 quest reward	608	607
item_outbreak_deathrooper_rifle	1	1000	425	945	0	energy	heat	20	80	1	100	0	64		int:wp.canBeDisMantled=1		pvp BF reward	900	906
weapon_gcw_dh18a_pistol_03_01	1	1000	161	321	0	kinetic			40	1	100	0	35		int:wp.canBeDisMantled=1		lvl65	603	602
weapon_gcw_tc22_rifle_03_01	1	1000	322	643	0	kinetic			80	1	100	0	64		int:wp.canBeDisMantled=1		lvl65	603	602
weapon_gcw_heavy_pulse_cannon_03_01	1	1000	462	777	0	kinetic	heat	15	100	1	100	0	64		int:wp.canBeDisMantled=1		lvl65	643	643
weapon_gcw_lance_03_01	1	1000	428	655	0	kinetic			100	1	100	0	5		int:wp.canBeDisMantled=1		lvl65	567	562
weapon_gcw_carbine_charric_03_01	1	1000	242	482	0	kinetic			60	1	100	0	50		int:wp.canBeDisMantled=1		lvl65	603	603
weapon_jinkins_j1_01_01	1	1000	336	671	0	kinetic			80	1	100	0	64		int:wp.canBeDisMantled=1		Nym's Theme Park Reward	629	629
