object	spawn_id	triggerId	room	loc_x	loc_y	loc_z	yaw	script	spawn_objvar	trigger_event	isInvulnerable	comment	paths	respawn	mission_critical
"randomTrigger:at2_explosion1,at2_explosion2,at2_explosion3,at2_explosion4,at2_explosion5"		at2_explosionTrigger1											
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at2_explosion1		1119	56	1319							
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion2		1049	55	1345							
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at2_explosion3		1073	55	1239							
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion4		1126	55	1260							
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion5		1049	55	1286							
trigger:at2_explosionTrigger2:faction-npc-atat:10:0:0:triggerId				1166	55	1261							
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at2_delay_explosion2_1		1076	55	1148
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_delay_explosion2_2		1044	55	1116
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_delay_explosion2_3		1126	57	1149
delayAction:at2_delay_explosion2_1:2		at2_explosionTrigger1				
delayAction:at2_delay_explosion2_2:10		at2_explosionTrigger2				
delayAction:at2_delay_explosion2_3:15		at2_explosionTrigger2				
delayAction:at2_explosion8:20		at2_explosionTrigger2				
"randomTrigger:at2_explosion6,at2_explosion7,at2_explosion8,at2_explosion9,at2_explosion10"		at2_explosionTrigger2				
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion6		1134	55	1202
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at2_explosion7		1084	55	1158
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion8		1046	55	1208
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at2_explosion9		1118	55	1170
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion10		1021	55	1147
trigger:at2_explosionTrigger3:faction-npc-atat:10:0:0:triggerId				1130	55	1020
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_delay_explosion3_1		1018	55	919
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at2_delay_explosion3_2		1089	57	917
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_delay_explosion3_3		992	55	956
delayAction:at2_delay_explosion3_1:2		at2_explosionTrigger3				
delayAction:at2_delay_explosion3_2:10		at2_explosionTrigger3				
delayAction:at2_delay_explosion3_3:15		at2_explosionTrigger3				
delayAction:at2_explosion13:20		at2_explosionTrigger3				
"randomTrigger:at2_explosion11,at2_explosion12,at2_explosion13,at2_explosion14,at2_explosion15"		at2_explosionTrigger3				
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion11		1013	55	1019
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion12		1013	55	968
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at2_explosion13		1072	55	931
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion14		1081	55	978
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at2_explosion15		1028	55	1021
trigger:at2_explosionTrigger4:faction-npc-atat:10:0:0:triggerId				1070	55	813
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_delay_explosion4_1		842	55	498
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_delay_explosion4_2		899	55	493
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at2_delay_explosion4_3		875	55	575
delayAction:at2_delay_explosion4_1:2		at2_explosionTrigger4				
delayAction:at2_delay_explosion4_2:10		at2_explosionTrigger4				
delayAction:at2_delay_explosion4_3:15		at2_explosionTrigger4				
delayAction:at2_explosion18:20		at2_explosionTrigger4				
"randomTrigger:at2_explosion16,at2_explosion17,at2_explosion18,at2_explosion19,at2_explosion20"		at2_explosionTrigger4				
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at2_explosion16		915	55	524
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion17		961	55	549
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at2_explosion18		854	55	575
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion19		866	55	626
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion20		937	55	505
trigger:at2_explosionTrigger5:faction-npc-atat:10:0:0:triggerId				984	55	628
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at2_delay_explosion5_1		786	55	287
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_delay_explosion5_2		737	55	264
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_delay_explosion5_3		794	55	213
delayAction:at2_delay_explosion5_1:2		at2_explosionTrigger5				
delayAction:at2_delay_explosion5_2:10		at2_explosionTrigger5				
delayAction:at2_delay_explosion5_3:15		at2_explosionTrigger5				
delayAction:at2_explosion23:20		at2_explosionTrigger5													
"randomTrigger:at2_explosion21,at2_explosion22,at2_explosion23,at2_explosion24,at2_explosion25"		at2_explosionTrigger5													
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion21		725	55	301									
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at2_explosion22		762	55	288									
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion23		797	55	311									
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at2_explosion24		766	55	204									
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at2_explosion25		704	55	207									
heroic_echo_snowtrooper	at3_snowTrooper_01	at3		1122.4219	55	1317.852	-178		string:patrol_path=at3_snowtrooper1_path1	OnDeath:triggerId:at3_deadTrooper			at3_snowtrooper1_path1:patrolOnce:at3_snowtrooper1_path01		1
heroic_echo_snowtrooper	at3_snowTrooper_02	at3		1127.4219	55	1322.852	-178		string:patrol_path=at3_snowtrooper2_path1	OnDeath:triggerId:at3_deadTrooper			at3_snowtrooper2_path1:patrolOnce:at3_snowtrooper2_path01		1
heroic_echo_snowtrooper	at3_snowTrooper_03	at3		1132.4219	55	1327.852	-178		string:patrol_path=at3_snowtrooper3_path1	OnDeath:triggerId:at3_deadTrooper			at3_snowtrooper3_path1:patrolOnce:at3_snowtrooper3_path01		1
heroic_echo_snowtrooper	at3_snowTrooper_04	at3		1117.4219	55	1322.852	-178		string:patrol_path=at3_snowtrooper4_path1	OnDeath:triggerId:at3_deadTrooper			at3_snowtrooper4_path1:patrolOnce:at3_snowtrooper4_path01		1
heroic_echo_snowtrooper	at3_snowTrooper_05	at3		1112.4219	55	1327.852	-178		string:patrol_path=at3_snowtrooper5_path1	OnDeath:triggerId:at3_deadTrooper			at3_snowtrooper5_path1:patrolOnce:at3_snowtrooper5_path01		1
heroic_echo_atst	at3_atst2	at3		1106.4219	55	1267.852	-178		string:patrol_path=at3_atst2_path1	OnDeath:triggerId:at3_atst2_respawn			at3_atst2_path1:patrolOnce:at3_atst_midpoint2		1
heroic_echo_atst	at3_atst4	at3		1106.4219	55	1399.852	-178		string:patrol_path=at3_atst2_path1	OnDeath:triggerId:at3_atst4_respawn					1
delayAction:at3_atst2:10		at3_atst2_respawn													
delayAction:at3_atst4:10		at3_atst4_respawn													
"heroic_echo_atst,heroic_echo_atst,heroic_echo_atst,none"	at3_atst2	at3_atst2		1128	55	1427	-178		string:patrol_path=at3_atst2_path1	OnDeath:triggerId:at3_atst2_respawn					1
"heroic_echo_atst,heroic_echo_atst,heroic_echo_atst,none"	at3_atst4	at3_atst4		1128	55	1559	-178		string:patrol_path=at3_atst2_path1	OnDeath:triggerId:at3_atst4_respawn					1
pathPoint:at3_snowtrooper1_path01				1057	55	890									
trigger:at3_snowTrooper_01_leg2:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			1057	55	890									
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		1057	55	890									
pathPoint:at3_snowtrooper2_path01				1062	55	895									
trigger:at3_snowTrooper_02_leg2:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			1062	55	895									
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		1062	55	895									
pathPoint:at3_snowtrooper3_path01				1067	55	900									
trigger:at3_snowTrooper_03_leg2:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			1067	55	900									
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		1067	55	900									
pathPoint:at3_snowtrooper4_path01				1052	55	895									
trigger:at3_snowTrooper_04_leg2:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			1052	55	895									
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		1052	55	895									
pathPoint:at3_snowtrooper5_path01				1047	55	900									
trigger:at3_snowTrooper_05_leg2:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			1047	55	900									
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		1047	55	900
pathPoint:at3_atst_midpoint2				1041	55	840
trigger:at3_atst2_leg2:faction-npc-imperial:1:0:0:targetMessage	snowtrooper_pathing			1041	55	840
trigger:getOffBattlefield:faction-npc-imperial:1:0:0:targetMessage		swap_generator		1041	55	840
pathPoint:at3_snowtrooper1_path02				805	55	378
trigger:snowtrooper_randomPat:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			805	55	378
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		805	55	378
pathPoint:at3_snowtrooper2_path02				810	55	383
trigger:snowtrooper_randomPat:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			810	55	383
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		810	55	383
pathPoint:at3_snowtrooper3_path02				815	55	388
trigger:snowtrooper_randomPat:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			815	55	388
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		815	55	388
pathPoint:at3_snowtrooper4_path02				800	55	383
trigger:snowtrooper_randomPat:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			800	55	383
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		800	55	383
pathPoint:at3_snowtrooper5_path02				795	55	388							
trigger:snowtrooper_randomPat:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			795	55	388							
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		795	55	388							
pathPoint:at3_atst_finish2				789	55	328							
trigger:snowtrooper_randomPat:faction-npc-imperial:1:0:0:targetMessage	snowtrooper_pathing			789	55	328							
trigger:getOffBattlefield:faction-npc-imperial:1:0:0:targetMessage		swap_generator		789	55	328							
trigger:at3_explosionTrigger1:faction-npc-atat:10:0:0:triggerId				1135	55	1431							
"messageTo;target;doPathAction;string:pathAction=patrol_path,string:pathName=at3_snowtrooper1_path2"		at3_snowTrooper_01_leg2											at3_snowtrooper1_path2:patrolOnce:at3_snowtrooper1_path02
"messageTo;target;doPathAction;string:pathAction=patrol_path,string:pathName=at3_snowtrooper2_path2"		at3_snowTrooper_02_leg2											at3_snowtrooper2_path2:patrolOnce:at3_snowtrooper2_path02
"messageTo;target;doPathAction;string:pathAction=patrol_path,string:pathName=at3_snowtrooper3_path2"		at3_snowTrooper_03_leg2											at3_snowtrooper3_path2:patrolOnce:at3_snowtrooper3_path02
"messageTo;target;doPathAction;string:pathAction=patrol_path,string:pathName=at3_snowtrooper4_path2"		at3_snowTrooper_04_leg2											at3_snowtrooper4_path2:patrolOnce:at3_snowtrooper4_path02
"messageTo;target;doPathAction;string:pathAction=patrol_path,string:pathName=at3_snowtrooper5_path2"		at3_snowTrooper_05_leg2											at3_snowtrooper5_path2:patrolOnce:at3_snowtrooper5_path02
"messageTo;target;doPathAction;string:pathAction=patrol_path,string:pathName=at3_atst_finish2"		at3_atst2_leg2											at3_atst_finish2:patrolOnce:at3_atst_finish2
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_delay_explosion1_1		1082	55	1301							
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_delay_explosion1_2		1056	55	1273							
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_delay_explosion1_3		1094	55	1213							
delayAction:at3_delay_explosion1_1:2		at3_explosionTrigger1				
delayAction:at3_delay_explosion1_2:10		at3_explosionTrigger1				
delayAction:at3_delay_explosion1_3:15		at3_explosionTrigger1				
delayAction:at3_explosion3:20		at3_explosionTrigger1				
"randomTrigger:at3_explosion1,at3_explosion2,at3_explosion3,at3_explosion4,at3_explosion5"		at3_explosionTrigger1				
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion1		1076	56	1355
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion2		1006	55	1381
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_explosion3		1030	55	1275
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion4		1083	55	1296
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_explosion5		1006	55	1322
trigger:at3_explosionTrigger2:faction-npc-atat:10:0:0:triggerId				1115	55	1315
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_delay_explosion2_1		1025	55	1202
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_delay_explosion2_2		993	55	1170
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_delay_explosion2_3		1075	57	1203
delayAction:at3_delay_explosion2_1:2		at3_explosionTrigger1				
delayAction:at3_delay_explosion2_2:10		at3_explosionTrigger2				
delayAction:at3_delay_explosion2_3:15		at3_explosionTrigger2				
delayAction:at3_explosion8:20		at3_explosionTrigger2				
"randomTrigger:at3_explosion6,at3_explosion7,at3_explosion8,at3_explosion9,at3_explosion10"		at3_explosionTrigger2				
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_explosion6		1083	55	1256
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion7		1033	55	1212
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_explosion8		995	55	1262
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion9		1067	55	1224
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion10		970	55	1201
trigger:at3_explosionTrigger3:faction-npc-atat:10:0:0:triggerId				1080	55	1070
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_delay_explosion3_1		968	55	969
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_delay_explosion3_2		1039	57	967
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_delay_explosion3_3		942	55	1006
delayAction:at3_delay_explosion3_1:2		at3_explosionTrigger3				
delayAction:at3_delay_explosion3_2:10		at3_explosionTrigger3				
delayAction:at3_delay_explosion3_3:15		at3_explosionTrigger3				
delayAction:at3_explosion13:20		at3_explosionTrigger3				
"randomTrigger:at3_explosion11,at3_explosion12,at3_explosion13,at3_explosion14,at3_explosion15"		at3_explosionTrigger3				
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion11		963	55	1069
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_explosion12		963	55	1018
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion13		1022	55	981
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_explosion14		1031	55	1028
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion15		978	55	1071
trigger:at3_explosionTrigger4:faction-npc-atat:10:0:0:triggerId				1037	55	837
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_delay_explosion4_1		809	55	522
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_delay_explosion4_2		866	55	517
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_delay_explosion4_3		842	55	599
delayAction:at3_delay_explosion4_1:2		at3_explosionTrigger4				
delayAction:at3_delay_explosion4_2:10		at3_explosionTrigger4				
delayAction:at3_delay_explosion4_3:15		at3_explosionTrigger4				
delayAction:at3_explosion18:15		at3_explosionTrigger4				
"randomTrigger:at3_explosion16,at3_explosion17,at3_explosion18,at3_explosion19,at3_explosion20"		at3_explosionTrigger4				
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion16		882	55	548
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion17		928	55	573
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_explosion18		821	55	599
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion19		833	55	650
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_explosion20		904	55	529
trigger:at3_explosionTrigger5:faction-npc-atat:10:0:0:triggerId				945	55	659
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_delay_explosion5_1		747	55	318
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_delay_explosion5_2		698	55	295
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_delay_explosion5_3		755	55	244
delayAction:at3_delay_explosion5_1:2		at3_explosionTrigger5				
delayAction:at3_delay_explosion5_2:10		at3_explosionTrigger5				
delayAction:at3_delay_explosion5_3:15		at3_explosionTrigger5				
delayAction:at3_explosion23:20		at3_explosionTrigger5				
"randomTrigger:at3_explosion21,at3_explosion22,at3_explosion23,at3_explosion24,at3_explosion25"		at3_explosionTrigger5				
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_explosion21		686	55	332
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion22		723	55	319
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at3_explosion23		758	55	342
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion24		727	55	235									
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at3_explosion25		665	55	238									
heroic_echo_snowtrooper	at4_snowTrooper_01	at4		1052	55	1459	-178		string:patrol_path=at4_snowtrooper1_path1	OnDeath:triggerId:at4_deadTrooper			at4_snowtrooper1_path1:patrolOnce:at4_snowtrooper1_path01		1
heroic_echo_snowtrooper	at4_snowTrooper_02	at4		1057	55	1464	-178		string:patrol_path=at4_snowtrooper2_path1	OnDeath:triggerId:at4_deadTrooper			at4_snowtrooper2_path1:patrolOnce:at4_snowtrooper2_path01		1
heroic_echo_snowtrooper	at4_snowTrooper_03	at4		1062	55	1469	-178		string:patrol_path=at4_snowtrooper3_path1	OnDeath:triggerId:at4_deadTrooper			at4_snowtrooper3_path1:patrolOnce:at4_snowtrooper3_path01		1
heroic_echo_snowtrooper	at4_snowTrooper_04	at4		1047	55	1464	-178		string:patrol_path=at4_snowtrooper4_path1	OnDeath:triggerId:at4_deadTrooper			at4_snowtrooper4_path1:patrolOnce:at4_snowtrooper4_path01		1
heroic_echo_snowtrooper	at4_snowTrooper_05	at4		1042	55	1469	-178		string:patrol_path=at4_snowtrooper5_path1	OnDeath:triggerId:at4_deadTrooper			at4_snowtrooper5_path1:patrolOnce:at4_snowtrooper5_path01		1
heroic_echo_atst	at4_atst2	at4		1036	55	1409	-178		string:patrol_path=at4_atst2_path1	OnDeath:triggerId:at4_atst2_respawn			at4_atst2_path1:patrolOnce:at4_atst_midpoint2		1
heroic_echo_atst	at4_atst4	at4		1036	55	1541	-178		string:patrol_path=at4_atst2_path1	OnDeath:triggerId:at4_atst4_respawn					1
delayAction:at4_atst2:10		at4_atst2_respawn													
delayAction:at4_atst4:10		at4_atst4_respawn													
"heroic_echo_atst,heroic_echo_atst,heroic_echo_atst,none"	at4_atst2	at4_atst2		1036	55	1409	-178		string:patrol_path=at4_atst2_path1	OnDeath:triggerId:at4_atst2_respawn					1
"heroic_echo_atst,heroic_echo_atst,heroic_echo_atst,none"	at4_atst4	at4_atst4		1036	55	1541	-178		string:patrol_path=at4_atst2_path1	OnDeath:triggerId:at4_atst4_respawn					1
pathPoint:at4_snowtrooper1_path01				995	55	895									
trigger:at4_snowTrooper_01_leg2:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			995	55	895									
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		995	55	895									
pathPoint:at4_snowtrooper2_path01				1000	55	900
trigger:at4_snowTrooper_02_leg2:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			1000	55	900
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		1000	55	900
pathPoint:at4_snowtrooper3_path01				1005	55	905
trigger:at4_snowTrooper_03_leg2:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			1005	55	905
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		1005	55	905
pathPoint:at4_snowtrooper4_path01				990	55	900
trigger:at4_snowTrooper_04_leg2:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			990	55	900
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		990	55	900
pathPoint:at4_snowtrooper5_path01				985	55	905
trigger:at4_snowTrooper_05_leg2:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			985	55	905
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		985	55	905
pathPoint:at4_atst_midpoint2				979	55	845
trigger:at4_atst2_leg2:faction-npc-imperial:1:0:0:targetMessage	snowtrooper_pathing			979	55	845
trigger:getOffBattlefield:faction-npc-imperial:1:0:0:targetMessage		swap_generator		979	55	845
pathPoint:at4_snowtrooper1_path02				715	55	325
trigger:snowtrooper_randomPat:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			715	55	325
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		715	55	325
pathPoint:at4_snowtrooper2_path02				720	55	330
trigger:snowtrooper_randomPat:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			720	55	330
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		720	55	330
pathPoint:at4_snowtrooper3_path02				725	55	335
trigger:snowtrooper_randomPat:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			725	55	335
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		725	55	335
pathPoint:at4_snowtrooper4_path02				710	55	330
trigger:snowtrooper_randomPat:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			710	55	330
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		710	55	330
pathPoint:at4_snowtrooper5_path02				705	55	335
trigger:snowtrooper_randomPat:faction-npc-hoth:1:0:0:targetMessage	snowtrooper_pathing			705	55	335
trigger:getOffBattlefield:faction-npc-hoth:1:0:0:targetMessage		swap_generator		705	55	335
pathPoint:at4_atst_finish2				699	55	275
trigger:snowtrooper_randomPat:faction-npc-imperial:1:0:0:targetMessage	snowtrooper_pathing			699	55	275
trigger:getOffBattlefield:faction-npc-imperial:1:0:0:targetMessage		swap_generator		699	55	275							
trigger:at4_explosionTrigger1:faction-npc-atat:10:0:0:triggerId				1045	55	1370							
"messageTo;target;doPathAction;string:pathAction=patrol_path,string:pathName=at4_snowtrooper1_path2"		at4_snowTrooper_01_leg2											at4_snowtrooper1_path2:patrolOnce:at4_snowtrooper1_path02
"messageTo;target;doPathAction;string:pathAction=patrol_path,string:pathName=at4_snowtrooper2_path2"		at4_snowTrooper_02_leg2											at4_snowtrooper2_path2:patrolOnce:at4_snowtrooper2_path02
"messageTo;target;doPathAction;string:pathAction=patrol_path,string:pathName=at4_snowtrooper3_path2"		at4_snowTrooper_03_leg2											at4_snowtrooper3_path2:patrolOnce:at4_snowtrooper3_path02
"messageTo;target;doPathAction;string:pathAction=patrol_path,string:pathName=at4_snowtrooper4_path2"		at4_snowTrooper_04_leg2											at4_snowtrooper4_path2:patrolOnce:at4_snowtrooper4_path02
"messageTo;target;doPathAction;string:pathAction=patrol_path,string:pathName=at4_snowtrooper5_path2"		at4_snowTrooper_05_leg2											at4_snowtrooper5_path2:patrolOnce:at4_snowtrooper5_path02
"messageTo;target;doPathAction;string:pathAction=patrol_path,string:pathName=at4_atst_finish2"		at4_atst2_leg2											at4_atst_finish2:patrolOnce:at4_atst_finish2
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at4_delay_explosion1_1		992	55	1240							
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at4_delay_explosion1_2		966	55	1212							
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at4_delay_explosion1_3		1004	55	1152							
delayAction:at4_delay_explosion1_1:2		at4_explosionTrigger1											
delayAction:at4_delay_explosion1_2:10		at4_explosionTrigger1											
delayAction:at4_delay_explosion1_3:15		at4_explosionTrigger1											
delayAction:at4_explosion3:20		at4_explosionTrigger1											
"randomTrigger:at4_explosion1,at4_explosion2,at4_explosion3,at4_explosion4,at4_explosion5"		at4_explosionTrigger1											
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at4_explosion1		986	56	1294
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at4_explosion2		916	55	1320
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at4_explosion3		940	55	1214
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at4_explosion4		993	55	1235
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at4_explosion5		916	55	1261
trigger:at4_explosionTrigger2:faction-npc-atat:10:0:0:triggerId				1030	55	1260
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at4_delay_explosion2_1		972	55	1166
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at4_delay_explosion2_2		940	55	1134
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at4_delay_explosion2_3		1022	57	1167
delayAction:at4_delay_explosion2_1:2		at4_explosionTrigger1				
delayAction:at4_delay_explosion2_2:10		at4_explosionTrigger2				
delayAction:at4_delay_explosion2_3:15		at4_explosionTrigger2				
delayAction:at4_explosion8:20		at4_explosionTrigger2				
"randomTrigger:at4_explosion6,at4_explosion7,at4_explosion8,at4_explosion9,at4_explosion10"		at4_explosionTrigger2				
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at4_explosion6		1030	55	1220
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at4_explosion7		980	55	1176
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at4_explosion8		942	55	1226
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at4_explosion9		1014	55	1188
clientfx:pt_hoth_battlefield_explosion_02.prt:forced_visability-500:1		at4_explosion10		917	55	1165
trigger:at4_explosionTrigger3:faction-npc-atat:10:0:0:triggerId				1005	55	1025
clientfx:pt_hoth_battlefield_explosion.prt:forced_visability-500:1		at4_delay_explosion3_1		893	55	924
