mand_bunker_super_battle_droid		hall52	-178.47	-59.8	-120.4	90	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		medroom55	-171.78	-60.11	-140.76	-38	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		medroom55	-176.32	-60.02	-150.5	-13	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		medroom55	-179.54	-60.04	-138.64	8	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_super_battle_droid		hall53	-206.72	-59.8	-120.82	-89	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_super_battle_droid		largeroom58	-208.68	-60.06	-139.25	10	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom58	-203.47	-60.01	-145.01	-160	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom58	-212.53	-59.87	-158.38	23	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		largeroom58	-204.22	-60.55	-172.37	-15	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		largeroom58	-207.12	-60.32	-179.24	-175	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom58	-210.65	-60.12	-195.06	164	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_super_battle_droid		hall61	-181.2	-59.8	-217.61	89	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom62	-179.3	-60.4	-230.94	121	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom62	-160.89	-59.82	-241.59	-76	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom62	-171.42	-60.06	-245.12	-21	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom62	-184.96	-60.11	-237.94	63	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom62	-168.88	-59.97	-256.11	-66	theme_park.dungeon.death_watch_bunker.death_watch_death		600
death_watch_quenker		largeroom62	-169.57	-59.88	-265.5	-148	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_super_battle_droid		hall63	-173.9	-59.8	-297.66	179	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_super_battle_droid		smallroom57	-288.61	-60	-125.2	89	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		smallroom57	-281.57	-60	-121	-177	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_battle_droid		smallroom57	-282.06	-60	-129.81	3	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_super_battle_droid		hall45	-93.43	-59.8	-218.37	-175	theme_park.dungeon.death_watch_bunker.death_watch_death		600
locked_chest		smallroom_68	24	-20	-29	-178			600
locked_chest		smallroom_70	88.75	-32	-60.83	74			600
object/tangible/dungeon/death_watch_bunker/door_control_terminal.iff		largeroom	-84.5	-20	-50.5	-90	theme_park.dungeon.death_watch_bunker.hall_door_terminal		
object/tangible/dungeon/death_watch_bunker/door_control_terminal.iff		observationroom17	-8.4	-32	-95.4	-89	theme_park.dungeon.death_watch_bunker.storage_door_terminal		
object/tangible/dungeon/death_watch_bunker/door_control_terminal.iff		hall33	25.9	-64	-95.4	-179	theme_park.dungeon.death_watch_bunker.mine_door_terminal		
object/tangible/dungeon/death_watch_bunker/door_control_terminal.iff		airlock	-17.7	-12	-8.5	0	theme_park.dungeon.death_watch_bunker.entrance_terminal		
r2	Crafting Droid	medroom54	-143	-60	-74	0	theme_park.dungeon.death_watch_bunker.craft_tailor_droid		
r3	Crafting Droid	storageroom56	-266.5	-50	-85	0	theme_park.dungeon.death_watch_bunker.craft_jetpack_droid		
r4	Crafting Droid	storageroom56	-236	-40	-84	0	theme_park.dungeon.death_watch_bunker.craft_droidengineer_droid		
r5	Crafting Droid	tramroom60	-246	-60	-245	0	theme_park.dungeon.death_watch_bunker.craft_armorsmith_droid		
mand_bunker_super_battle_droid		filtrationroom26	65.9	-32	-91.1	0	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_dthwatch_silver		filtrationroom26	46.6	-32	-91.1	0	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_super_battle_droid		filtrationroom26	48.5	-32	-63.2	180	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_dthwatch_silver		filtrationroom26	68.8	-32	-62.8	180	theme_park.dungeon.death_watch_bunker.death_watch_death		600
mand_bunker_dthwatch_gold		largeroom43	-127.3	-59.7	-378.2	11	theme_park.dungeon.death_watch_bunker.death_watch_death		3600
mand_bunker_super_battle_droid		largeroom43	-127.6	-59.8	-372.3	0	theme_park.dungeon.death_watch_bunker.death_watch_death		3600
mand_bunker_super_battle_droid		largeroom43	-122	-60	-377.7	45	theme_park.dungeon.death_watch_bunker.death_watch_death		3600
mand_bunker_crazed_scientist		medroom54	-152.1	-60	-83	-179			1200
mand_bunker_crazed_scientist		storageroom56	-254.5	-50	-88.8	-80			1200
mand_bunker_crazed_scientist		storageroom56	-247.3	-27.6	-89.5	67			1200
mand_bunker_crazed_scientist		tramroom60	-246	-59.9	-231.4	179			1200
itp_vader_mara_jade		observationroom17	-30.7	-20	-56.8	172			9
