strType	strComments	fltMinDamageModifier	fltMinDamage	fltMaxDamageModifier	fltMaxDamage	fltShieldEffectivenessModifier	fltShieldEffectiveness	fltArmorEffectivenessModifier	fltArmorEffectiveness	fltEnergyPerShotModifier	fltEnergyPerShot	fltRefireRateModifier	fltRefireRate	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
object/tangible/ship/components/weapon/wpn_subpro_light_ioncannon.iff	Do not edit.	0.12	290	0.12	390	0.05	0.7	0.05	0.3	0.17	20.4	0.05	0.34	150	150	0.05	75	75	1	0.17	2000	0.17	1000	1
object/tangible/ship/components/weapon/wpn_subpro_modified_tricannon.iff	Do not edit.	0.12	761.25	0.12	1072.5	0.05	0.625	0.05	0.625	0.17	28.05	0.05	0.425	431.25	431.25	0.05	215.625	215.625	1	0.17	2100	0.17	4593.75	4
object/tangible/ship/components/weapon/wpn_subpro_tricannon.iff	Do not edit.	0.12	609	0.12	858	0.05	0.5	0.05	0.5	0.17	22.44	0.05	0.34	379.5	379.5	0.05	189.75	189.75	1	0.17	2100	0.17	2875	3
object/tangible/ship/components/weapon/wpn_subpro_tripleblaster.iff	Do not edit.	0.12	761.25	0.12	1072.5	0.05	0.625	0.05	0.625	0.17	28.05	0.05	0.425	431.25	431.25	0.05	215.625	215.625	1	0.17	2100	0.17	4593.75	4
object/tangible/ship/components/weapon/wpn_subpro_tripleblaster_mark2.iff	Do not edit.	0.12	1342.85	0.12	1981.975	0.05	0.625	0.05	0.625	0.17	33.426	0.05	0.408	793.5	793.5	0.05	396.75	396.75	1	0.17	2200	0.17	13110	6
object/tangible/ship/components/weapon/wpn_subpro_tripleblaster_mark3.iff	Do not edit.	0.12	1591.82	0.12	2461.33	0.05	0.5	0.05	0.5	0.17	27.156	0.05	0.34	934.43	934.43	0.05	467.215	467.215	1	0.17	2300	0.17	17940	7
object/tangible/ship/components/weapon/wpn_taim_elite.iff	Do not edit.	0.12	2228.963	0.12	3610.631	0.05	0.625	0.05	0.625	0.17	37.335	0.05	0.425	1375.475	1375.475	0.05	687.7375	687.7375	1	0.17	2200	0.17	56400	10
object/tangible/ship/components/weapon/wpn_taim_heavy_laser.iff	Do not edit.	0.12	1989.775	0.12	3076.662	0.05	0.625	0.05	0.625	0.17	33.945	0.05	0.425	1168.037	1168.037	0.05	584.0185	584.0185	1	0.17	2300	0.17	31395	8
object/tangible/ship/components/weapon/wpn_taim_ix4.iff	Do not edit.	0.12	761.25	0.12	1072.5	0.05	0.625	0.05	0.625	0.17	28.05	0.05	0.425	431.25	431.25	0.05	215.625	215.625	1	0.17	2040	0.17	4462.5	4
object/tangible/ship/components/weapon/wpn_taim_ix5.iff	Do not edit.	0.12	1074.28	0.12	1585.58	0.05	0.5	0.05	0.5	0.17	24.684	0.05	0.34	634.8	634.8	0.05	317.4	317.4	1	0.17	2200	0.17	6875	5
object/tangible/ship/components/weapon/wpn_taim_kx5.iff	Do not edit.	0.12	1342.85	0.12	1981.975	0.05	0.625	0.05	0.625	0.17	30.855	0.05	0.425	793.5	793.5	0.05	396.75	396.75	1	0.17	2200	0.17	12017.5	6
object/tangible/ship/components/weapon/wpn_taim_kx8.iff	Do not edit.	0.12	1591.82	0.12	2461.33	0.05	0.6	0.05	0.45	0.17	27.156	0.05	0.34	840.987	840.987	0.05	420.4935	420.4935	1	0.17	2300	0.17	16380	7
object/tangible/ship/components/weapon/wpn_taim_kx9.iff	Do not edit.	0.12	1981.3	0.12	3209.45	0.05	0.5	0.05	0.5	0.17	29.868	0.05	0.34	1100.38	1100.38	0.05	550.19	550.19	1	0.17	2400	0.17	46800	9
object/tangible/ship/components/weapon/wpn_tieadvanced_blaster.iff	Do not edit.	0.12	362.5	0.12	487.5	0.05	0.625	0.05	0.625	0.17	25.5	0.05	0.425	168.75	168.75	0.05	84.375	84.375	1	0.17	2000	0.17	1575	2
object/tangible/ship/components/weapon/wpn_tiefighter_basic.iff	Do not edit.	0.12	290	0.12	390	0.05	0.5	0.05	0.5	0.17	20.4	0.05	0.34	150	150	0.05	75	75	1	0.17	2000	0.17	1000	1
object/tangible/ship/components/weapon/wpn_z95_basic.iff	Do not edit.	0.12	290	0.12	390	0.05	0.5	0.05	0.5	0.17	20.4	0.05	0.34	150	150	0.05	75	75	1	0.17	2000	0.17	1000	1
object/tangible/ship/components/weapon/wpn_z95_blaster.iff	Do not edit.	0.12	362.5	0.12	487.5	0.05	0.625	0.05	0.625	0.17	25.5	0.05	0.425	187.5	187.5	0.05	93.75	93.75	1	0.17	2000	0.17	1750	2
object/tangible/ship/components/weapon/wpn_mining_laser_mk1.iff	Do not edit.	0	200	0	350	0	0.4	0	0.4	0	20	0	0.4	150	150	0	150	150	1	0	2000	0	1000	0
object/tangible/ship/components/weapon/wpn_mining_laser_mk2.iff	Do not edit.	0	650	0	950	0	0.4	0	0.4	0	25	0	0.4	400	400	0	200	200	1	0	2100	0	4400	0
object/tangible/ship/components/weapon/wpn_mining_laser_mk3.iff	Do not edit.	0	1300	0	1500	0	0.5	0	0.5	0	30	0	0.4	600	600	0	300	300	1	0	2200	0	6800	0
object/tangible/ship/components/weapon/wpn_tractor_pulse_gun.iff	Do not edit.	0	0	0	0	0	0	0	0	0	20	0	0.3	150	150	0	150	150	1	0	2000	0	1000	0
object/tangible/ship/components/weapon/wpn_corellian_heavy_gauss.iff	Do not edit.	0.14	2550.924	0.14	4132.167	0.05	0.75	0.05	0.5	0.17	37.335	0.05	0.425	1375.475	1375.475	0.05	687.7375	687.7375	1	0.17	2600	0.17	56400	10
object/tangible/ship/components/weapon/wpn_fastspray_2000_disruptor.iff	Do not edit.	0.12	1342.85	0.12	1981.975	0.05	0.625	0.05	0.625	0.17	30.855	0.05	0.425	793.5	793.5	0.05	396.75	396.75	1	0.17	2200	0.17	12017.5	6
object/tangible/ship/components/weapon/wpn_hoersch_railgun.iff	Do not edit.	0.12	2476.625	0.12	4011.813	0.05	0.563	0.05	0.75	0.17	37.335	0.05	0.425	1237.928	1237.928	0.05	618.964	618.964	1	0.17	2400	0.17	51700	10
object/tangible/ship/components/weapon/wpn_trandoshan_fg1a.iff	Do not edit.	0.12	1591.82	0.12	2461.33	0.05	0.6	0.05	0.45	0.17	27.156	0.05	0.34	840.987	840.987	0.05	420.4935	420.4935	1	0.17	2300	0.17	16380	7
object/tangible/ship/components/weapon/wpn_vengeance_ion_cannon.iff	Do not edit.	0.12	1989.775	0.12	3076.662	0.05	0.625	0.05	0.625	0.17	33.945	0.05	0.425	1168.037	1168.037	0.05	584.0185	584.0185	1	0.17	2300	0.17	31395	8
object/tangible/ship/components/weapon/wpn_vulcan_cannon.iff	Do not edit.	0.12	2228.963	0.12	3610.631	0.05	0.625	0.05	0.625	0.17	37.335	0.05	0.425	1375.475	1375.475	0.05	687.7375	687.7375	1	0.17	2200	0.17	56400	10
object/tangible/ship/components/weapon/wpn_ionic_pulse_weapon.iff	Do not edit.	0.12	1830.47	0.12	2830.53	0.05	0.6	0.05	0.45	0.17	27.156	0.05	0.34	840.987	840.987	0.05	420.4935	420.4935	1	0.17	2300	0.17	16380	7
object/tangible/ship/components/weapon/wpn_heavy_ionic_pulse_weapon.iff	Do not edit.	0.12	2476.625	0.12	4011.813	0.05	0.563	0.05	0.75	0.17	37.335	0.05	0.425	1237.928	1237.928	0.05	618.964	618.964	1	0.17	2400	0.17	51700	10
