0x00070bcf	spacequest/destroy/npe_hard_main_1
0x34475a7d	quest/ep3_forest_kerritamba_epic_6
0x3465c691	quest/restuss_rebel_st3_comm_array_spy
0x3486ac9d	quest/u13_vengeance_sidequest
0x34a09626	spacequest/patrol/corellia_find_missing_shipment_a
0x34c4fc4b	quest/mtp_hideout_instance_kill_all_droids_fail
0x34c6191b	quest/mtp_map_quest_talus_01
0x34ce1032	spacequest/rescue/ep3_kash_station_rescue_bravo
0x34dca00b	quest/crash_site_01_imp_domestics
0x34f3c850	quest/newbie_entertainer_terminal
0x3508b344	quest/tatooine_entha_goto_draknus
0x350d383f	spacequest/escort/ep3_kash_station_escort_alpha
0x351d9535	spacequest/destroy_surpriseattack/ep3_kash_station_ghrag_ambush
0x352ed4b7	quest/tatooine_knives_fencing_pt_2
0x35388c6d	quest/ep3_forest_rhiek_quest_3
0x3577064d	quest/ep3_trando_ysith_reward
0x359be372	quest/newbie_goto_vourk
0x35b95beb	quest/gcw_construct_vehicle
0x35d09158	quest/npe_brawler_2a
0x35d96f39	quest/corellia_39_chirq_council_01
0x35fd31f3	quest/restuss_rebel_carbine_crafting_2
0x361a0c0c	quest/rtp_leia_02
0x361f9f00	quest/npe_side_dungeon_soldier
0x3641016a	quest/ep3_forest_aveso_quest_2
0x365f62cd	quest/talus_nashal_goto_kiki
0x3668a70a	spacequest/destroy_surpriseattack/corellia_station_mission4_2b
0x36b06a3d	quest/entertainer_imperial_02
0x36c7c89b	quest/newbie_mayor_vaigon_shinn
0x36dec574	spacequest/destroy_duty/lok_imperial_tier3
0x36df85f6	quest/corellia_39_sidequest_08
0x3703e088	quest/npe_brawler_4
0x371fbb09	spacequest/escort_duty/tatooine_privateer_tier4_1
0x37413a98	quest/newbie_gendra_imperial_pilot
0x3745db38	quest/restuss_rebel_space_destroy_1
0x37824659	spacequest/assassinate/corellia_imperial_tier3_4_c
0x37c17e39	quest/talus_dearic_coa_rebel_view
0x37d2cd5e	quest/smuggle_pointer_generic_5
0x37e38afd	quest/ep3_clone_relics_nym_starmap_2
0x37e9224e	quest/crash_site_02_imp_engineering
0x37ff5cbc	quest/restuss_rebel_st3_destroy_generic
0x3815c62f	quest/ep3_stren_dorn_bounty_belga
0x382fbe99	spacequest/destroy_surpriseattack/npe_easy_main_1b
0x3838bb66	quest/corellia_droid_bunker_destroy_super_battle_droid
0x3846ce55	quest/naboo_boss_nass_artifacts_darkwalker
0x38956c38	spacequest/patrol/npe_hard_main_2d
0x389a49e0	quest/corellia_39_chirq_council_02
0x389f3d02	spacequest/space_battle/stn_dantooine_owner_rebel_landing_tier2_2
0x38a92569	testquest
0x38be172a	quest/restuss_rebel_carbine_crafting_1
0x38c05031	spacequest/escort/stn_yavin4_company_all_opening_tier2_3
0x38c6a561	spacequest/destroy_duty/vortex_mission_6
0x38e14c4a	quest/npe_pointer_combat
0x38e860a6	spacequest/delivery/tatooine_rebel_tier3_1_a
0x39047ca4	quest/ep3_forest_kerritamba_epic_5
0x390acea8	quest/ep3_hunt_sordaan_seek_sordaan
0x3916d2b7	quest/test_new_reward
0x391e4a61	spacequest/recovery/test_recovery
0x39579b2c	spacequest/escort/ep3_trando_boshaz_zssik_01
0x3973962f	quest/outbreak_switch_to_imperial
0x397d6859	quest/no_rank4_orion_02
0x39862469	spacequest/space_battle/corellia_imperial_tier3_2d
0x39a12c7e	quest/u16_nym_themepark_weed_pulling
0x39a27d70	quest/npe_inaldra_quest
0x39a6d0bb	quest/npe_marksman
0x39b7e68c	quest/jabba_barada
0x39d61fb8	spacequest/inspect/naboo_privateer_tier4_2a
0x39dd94d3	quest/ep3_rryatt_trail_mastery
0x39fa8a4d	spacequest/space_mining_destroy/kessel_mining_quest_13
0x3a054249	spacequest/escort/naboo_imperial_tier4_4
0x3a06fde1	quest/restuss_rebel_space_destroy_2
0x3a0de403	quest/pointer_porcellus
0x3a791d96	quest/npe_job_pointer_droid_engineer
0x3a7e7381	spacequest/recovery/corellia_imperial_tier4_2
0x3a94b394	spacequest/space_battle/naboo_rebel_tier4_2_a
0x3aa0ac24	quest/ep3_clone_relics_nym_starmap_1
0x3abd132d	quest/som_exploration_burning
0x3acdbbfd	quest/ep3_myyydril_kallaarac_destroy_2
0x3af8a268	spacequest/survival/tatooine_imperial_tier3_3_c
0x3b0227b3	quest/ep3_forest_aveso_quest_1
0x3b0b3aa2	spacequest/assassinate/corellia_imperial_tier3_3_a
0x3b0bfb3e	quest/npe_side_hutt_slicers
0x3b175209	quest/chapter7_beginning_counter_collection
0x3b18f53f	quest/test_complex_escort
0x3b37087e	spacequest/recovery/stn_lok_nym_reb_tier2_1a
0x3b5301b7	quest/ep3_sera_10_wookiee_teeth
0x3b592ad5	quest/rtp_leia_01
0x3b647f47	spacequest/rescue/imperial_ss_03
0x3b7ba00d	spacequest/survival/corellia_privateer_tier3_4_a
0x3b912c2b	quest/npe_boba
0x3bb0da47	quest/npe_job_pointer_aleas
0x3bb70cd9	spacequest/escort_duty/viopa_rebel_5
0x3bd8727d	spacequest/survival/naboo_imperial_tier3_2_a
0x3bf1c48c	quest/npe_scout_1a
0x3bf34ce4	quest/entertainer_imperial_01
0x3bf92d29	spacequest/assassinate/tatooine_legacy_head_runaway3_space
0x3bfd6f56	quest/tatooine_eisley_talkniko
0x3c2e8601	quest/ep3_forest_kerritamba_assassin
0x3c540b9b	spacequest/inspect/tatooine_imperial_tier4_1_c
0x3c5b5457	quest/corellia_39_chirq_council_03
0x3c7223c7	quest/naboo_theed_goto_khartoor
0x3ca2c2c5	spacequest/escort_duty/naboo_rebel_7
0x3cbab703	quest/ep3_forest_rhiek_quest_1
0x3d2ca5b4	quest/talus_dearic_plea_pity
0x3d7bf619	quest/npe_pointer_officer_template
0x3d96f224	quest/restuss_imperial_st3_destroy_boss
0x3da235ca	quest/c_newbie_hall_range01
0x3db1a560	quest/ep3_hunt_johnson_retrieve_ryoos_stash
0x3dbc75ee	quest/no_rank4_orion_03
0x3dc56113	quest/ep3_forest_kerritamba_epic_4
0x3ddf095f	quest/talus_dearic_crisis_of_allegiance
0x3ddf901a	spacequest/space_battle/naboo_station_emperors_access_quest_1
0x3e007d37	spacequest/assassinate/corellia_imperial_tier3_4_a
0x3e05b7c6	quest/u13_vengeance_01
0x3e0ca64a	quest/ep3_myyydril_kallaarac_destroy_3
0x3e475886	spacequest/space_battle/naboo_rebel_tier4_4_a
0x3e69a13f	spacequest/recovery/naboo_imperial_tier4_4_a
0x3ea443e5	quest/tatooine_tosche_shmi_flowers
0x3eb495db	quest/npe_side_robbery
0x3f047aa3	spacequest/assassinate/stn_endor_irs_imp_tier3_2d
0x3f102191	quest/u16_nym_themepark_jinkins_kole
0x3f324cfe	quest/tatooine_eisley_drensbounty
0x3f429994	spacequest/escort/dathomir_station_priv_storyquest_01_c
0x3f4405d2	quest/naboo_kadaraa_tipping_the_balance_1
0x3f561ac5	quest/ep3_myyydril_lorn_retrieve_6
0x3f5fa453	spacequest/escort/poi_tatooine_general2_1
0x3f710b48	quest/npe_pointer_artisan
0x3f753414	spacequest/recovery/corellia_imperial_tier3_2
0x3fa84b1f	spacequest/survival/corellia_privateer_tier3_2_a
0x3faa35f0	spacequest/delivery_no_pickup/stn_dantooine_owner_all_repairmission_tier2_1
0x3fbcb1f4	quest/naboo_boss_nass_artifacts_mauler
0x3fd5dbc0	quest/mtp_camp_quest_lok
0x3fdf9e7f	quest/pointer_jabba
0x3ff7ea65	spacequest/escort/vortex_mission_1
0x4012e207	quest/u16_nym_themepark_parts_3
0x402c4115	spacequest/destroy_surpriseattack/naboo_station_emperors_access_quest_5
0x40372fb6	quest/naboo_deeja_peak_beacon_mercs
0x4064e006	quest/npe_smuggler_comm
0x407a21d8	spacequest/escort_duty/rori_station_rsf_escort_duty_tier3
0x409dcdf5	quest/outbreak_quest_rescue_02
0x40a54277	spacequest/destroy_duty/dantooine_void_wing_tier5
0x40b1a920	quest/restuss_imperial_soldier_2
0x40ba3ef2	quest/cyborg_headband_reward_quest
0x40d21a05	quest/ep3_forest_dahlia_epic_4
0x40e391c0	quest/som_story_arc_chapter_two_01
0x40e5cde4	quest/corellia_38_sidequest_05
0x40f6957c	quest/legacy_head_malakili
0x40fa65ca	spacequest/destroy_duty/corellia_blacksun_tier1
0x4162e828	quest/ep3_hunt_chrilooc_seek_johnson
0x417276f6	quest/recovery_quest_rebel_fail_02
0x4184b740	quest/u16_nym_themepark_save_agent
0x41a5084c	quest/jabba_reelo_baruk
0x41adce2d	spacequest/space_battle/corellia_rebel_tier4_1_b
0x41b13716	spacequest/assassinate/corellia_privateer_tier3_4
0x41e4efca	quest/ep3_stren_jessk_bounty_tien
0x42216931	quest/test_nothing
0x42466dd6	quest/newbie_gendra_cantina_dance
0x424f5f0d	spacequest/assassinate/dathomir_station_priv_storyquest_01_d
0x4253839e	quest/jabba_the_hutt
0x426405a2	quest/loveday_disillusion_pet_lover_v2
0x4272e7c5	quest/legacy_head_start
0x4278747d	quest/tyrena_goto_takouhi
0x427a979f	spacequest/delivery_no_pickup/ep3_hunting_kara_poacher_delivery_03
0x42af8fa8	spacequest/patrol/naboo_imperial_tier4_1
0x43139c69	quest/tatooine_bestinejobs_rebsymp
0x4329cc06	quest/mtp_camp_quest_naboo
0x43409421	quest/typho_pilot_two_failed
0x43893943	spacequest/assassinate/dath_bh_wanted_list_02
0x43919d31	quest/som_hk_history_ten
0x4392009e	quest/test_invisible_task
0x439c03b0	spacequest/delivery_no_pickup/talus_station_mission5_5
0x43c214d2	quest/legacy_naboo_helping_the_handmaidens
0x43d6cd01	spacequest/space_battle/corellia_rebel_tier4_4_c
0x43dd1dce	spacequest/destroy_surpriseattack/tatooine_imperial_tier3_3_d
0x43f5cf14	quest/u16_nym_themepark_kole_to_nym
0x43f77e3f	quest/outbreak_live_conversion_rebel
0x4407ad44	spacequest/assassinate/naboo_privateer_tier1_4a
0x440e1ac5	spacequest/recovery_duty/tatooine_rebel_tier4_1
0x4424d053	quest/corellia_38_sidequest_04
0x444ada22	quest/naboo_theed_meanwhile_ranch
0x445cd042	quest/outbreak_quest_rescue_03
0x44645fc0	spacequest/destroy_duty/dantooine_void_wing_tier4
0x44686eac	quest/legacy_naboo_droid_module_1
0x44852dd2	spacequest/destroy_duty/naboo_rogue_droid_tier1
0x448e7a1c	spacequest/assassinate/corellia_privateer_tier2_4a
0x44967ef1	quest/camp_beta_defense_04
0x44a76504	quest/ep3_wookiee_benefactor_1
0x44ab0bb3	quest/npe_pilot_medium_4
0x44d3ffb0	quest/u16_nym_themepark_parts_2
0x44d760d9	quest/legacy_naboo_the_keren_incident
0x44ed5ca2	spacequest/destroy_surpriseattack/naboo_station_emperors_access_quest_4
0x4506f5f1	spacequest/recovery/corellia_imperial_tier3_3d
0x450c2423	quest/ep3_rryatt_krepauk_cleanse_feral_wookiees
0x451b1015	quest/newbie_gendra_meat_jerky
0x452118f7	spacequest/inspect/tatooine_privateer_tier4_3a
0x4526e44c	quest/outbreak_quest_rescue_01_fail
0x4528f2a8	quest/som_obi_wan_signal_1
0x45394761	quest/naboo_theed_hugo_rescue_darkwalker
0x453e5e6c	quest/ep3_carl_surrogate_hunter_v2
0x4565ff7e	spacequest/destroy_duty/yavin_rebel_tier3
0x45b36b41	quest/recovery_quest_rebel_fail_03
0x45c0fbd0	spacequest/patrol/tatooine_imperial_1
0x45d0e285	quest/tatooine_espa_leg_work_2
0x45fac987	quest/outbreak_quest_shuttle_parts
0x460b2c61	spacequest/destroy/restuss_rebel_destroy_1
0x4626d4a9	spacequest/patrol/corellia_rebel_1
0x4627574b	quest/event_gcwcheerleader_sfreb5
0x46392259	quest/restuss_rebel_st3_destroy_installation_1_commando
0x466e45ab	spacequest/destroy_surpriseattack/stn_endor_irs_imp_tier3_3b
0x4681f0f9	spacequest/space_battle/tatooine_rebel_tier4_3
0x46bb8a28	spacequest/delivery_no_pickup/ep3_hunting_kara_poacher_delivery_02
0x46c0e6dc	spacequest/assassinate/corellia_rebel_tier4_2
0x47038580	quest/crash_site_04_imp_engineering
0x472e2e91	quest/npe_pointer_inaldra
0x473bce8b	quest/npe_brawler_1a
0x475d1e07	spacequest/delivery_no_pickup/talus_station_mission5_4
0x47a99545	quest/corellia_tyrena_lost_love
0x47b25f1c	quest/test_tasks_granting_quests
0x47e75398	quest/talus_nashal_find_weakness
0x480cfe42	quest/u16_nym_themepark_gather_chemicals
0x480dfe43	spacequest/destroy_duty/tatooine_privateer_tier2_1
0x4837fe95	spacequest/recovery/dathomir_station_imp_storyquest_01_a
0x48609f0a	spacequest/space_battle/stn_endor_irs_imp_tier3_3d
0x486bd471	quest/som_obi_wan_signal_2
0x48708dc5	spacequest/survival/stn_endor_irs_imp_tier3_3f
0x48753c69	quest/c_bounty_hunter_kill_4
0x48a29456	spacequest/destroy/nova_orion_rank1_01
0x48ac5a4e	spacequest/space_battle/corellia_privateer_tier4_3c_win
0x48c7b67b	spacequest/destroy/poi_tatooine_general2_2_a
0x48dca94b	quest/ep3_trando_tempal_buncho
0x492149a3	quest/npe_pointer_marksman
0x492b4875	quest/legacy_naboo_droid_module_2
0x495516e6	quest/naboo_theed_hugo_rescue
0x497dc04e	spacequest/destroy/c_sink_reb_space
0x4990d969	quest/u16_nym_themepark_parts_1
0x49b46f07	quest/u16_nym_themepark_second_interview_moore
0x49c60b0b	spacequest/destroy_duty/naboo_rogue_droid_tier2
0x49d55ca2	quest/npe_side2
0x49e443dd	quest/ep3_wookiee_benefactor_2
0x4a0a8709	quest/outbreak_stun_baton_hidden_content
0x4a1e38de	spacequest/delivery_no_pickup/talus_station_mission5_7
0x4a34cf54	quest/test_various2
0x4a564bdc	quest/u16_nym_return_townsperson
0x4a5aa597	spacequest/rescue/npe_med_main_2a
0x4a66f5e4	quest/npe_solo_profession_2
0x4aa34140	quest/ep3_rroow_sera_package_deliver
0x4aaac5f8	quest/newbie_gendra_small_glass
0x4aae9745	quest/rtp_nien_nunb_01
0x4ab7fb91	quest/outbreak_quest_administrative_building_neutral_04
0x4ab8d141	spacequest/destroy_duty/yavin_void_wing_tier3
0x4ac4378d	quest/ep3_myyydril_attiera_escort_2
0x4ad19fde	quest/c_dathomir_smc_combat1
0x4ada59f9	quest/newbie_mayor_hooligans_water_thief_2
0x4b1f0b8d	quest/ep3_trando_harwakokok_zssik_09
0x4b347dce	spacequest/recovery_duty/naboo_imperial_tier2_recoveryduty
0x4b41f73d	quest/axkva_min_intro
0x4b480ab8	spacequest/destroy/restuss_rebel_destroy_2
0x4b804eb2	spacequest/patrol/npe_smuggler_1
0x4bf8acf1	spacequest/delivery_no_pickup/ep3_hunting_kara_poacher_delivery_01
0x4c002772	spacequest/assassinate/corellia_station_mission3_1
0x4c1bfde4	spacequest/recovery/ep3_blacksun_heavy_recovery
0x4c32d96d	spacequest/patrol/npe_easy_main_1d
0x4c42c0be	spacequest/patrol/tatooine_imperial_3
0x4c8166ab	quest/corellia_coronet_capitol_problems_diktat_search
0x4c9b5ea1	quest/u16_nym_themepark_interview_choster
0x4cae98f8	spacequest/escort/naboo_privateer_tier3_2a
0x4cb1abc7	quest/borvos_guard_frangee
0x4cbc47b4	spacequest/patrol/npe_training_gamma
0x4cde1551	spacequest/destroy_duty/tatooine_privateer_tier4_1
0x4ceee8f4	spacequest/space_battle/corellia_rebel_tier4_1_a
0x4d144115	quest/npe_side3
0x4d25d6d4	quest/ep3_trando_orooroo_zssik_08
0x4d328b73	quest/tatooine_espa_repo_man
0x4d69c414	quest/camp_gamma_survivor_rescue
0x4d6ead4e	quest/ep3_hunt_manfred_steal_chiss_goods
0x4d6f67cc	spacequest/destroy_surpriseattack/naboo_station_emperors_access_quest_6
0x4d80fa28	spacequest/space_battle/corellia_station_mission5b_2
0x4da0031a	quest/crash_site_05_imp_domestics
0x4da6eb3d	quest/corellia_38_sidequest_06
0x4db94313	spacequest/destroy_duty/corellia_blacksun_tier2
0x4dc0324b	quest/crash_site_06_reb_engineering
0x4dc1780a	quest/tatooine_eisley_gotoreimos
0x4dcc61b8	quest/outbreak_quest_facility_05_imperial
0x4ddeeb2c	quest/outbreak_quest_rescue_01
0x4de09a8b	spacequest/destroy_duty/ep3_kash_station_destroy_duty_imperial
0x4dea55c2	quest/legacy_naboo_droid_module_3
0x4df28ff9	quest/restuss_imperial_soldier_1
0x4e09c1c5	spacequest/escort/corellia_privateer_tier3_1_b
0x4e3c0b3c	quest/heroic_echo_imperial_evac
0x4e76e626	quest/outbreak_quest_administrative_building_neutral_05
0x4e8995ad	spacequest/destroy/tatooine_rebel_3
0x4e9eebaa	quest/npe_job_pointer_tarand
0x4eca1f9a	spacequest/assassinate/dath_bh_wanted_list_01
0x4ecf3f4d	quest/tatooine_eisley_answers
0x4edf2569	spacequest/delivery_no_pickup/talus_station_mission5_6
0x4ee38f9a	quest/test_perform_action_on_npc
0x4ef22ffb	quest/corellia_cb_4
0x4f03cb97	spacequest/space_battle/tatooine_rebel_tier4_1
0x4f26bc33	quest/legacy_button_valarian_v2
0x4f434560	quest/ep3_forest_outcast_contact
0x4f5fb1fa	spacequest/space_battle/corellia_rebel_tier4_3_a
0x4fa4efc7	spacequest/patrol/corellia_rebel_3
0x4fb12814	quest/legacy_head_remodel
0x4fbc1577	quest/som_lava_flea_hunt
0x5006befc	quest/prof_medic_21
0x5009ca1e	quest/gcw_construct_patrol
0x500a7ef4	quest/naboo_theed_hugo_return
0x5019d141	spacequest/escort/npe_easy_main_2
0x501ebea8	spacequest/assassinate/tatooine_privateer_tier2_3a
0x5031b623	quest/outbreak_quest_administrative_building_neutral_02
0x5099ae86	spacequest/destroy_surpriseattack/ep3_stren_dorn_bounty
0x50b061cb	quest/c_smuggler_steal_2
0x50b57ffe	quest/corellia_cb_3
0x50c0c5c3	quest/npe_side_dungeon_meat
0x50c39b17	quest/naboo_boss_nass_goto
0x50d0b4dd	quest/crash_site_05_imp_engineering
0x50d26fea	spacequest/space_mining_destroy/endor_mining_quest_9
0x50f87e59	spacequest/patrol/npe_hard_main_1b
0x51198968	quest/ep3_hunt_sordaan_uller_bet
0x513ed983	quest/naboo_theed_goto_hugo
0x513f7fd1	quest/tatooine_espa_wattos_bargain
0x515934db	spacequest/escort_duty/stn_lok_nym_reb_tier2_1
0x51751a3f	quest/prof_commando_11
0x519aa789	quest/crash_site_05_reb_structures
0x51b3d95f	quest/itp_emperor_01
0x522045c0	spacequest/rescue/ep3_hunting_ziven_fordans_ship
0x52305e94	spacequest/escort_duty/ep3_kash_station_escort_duty_rebel
0x5246927a	quest/npe_medic_tracker
0x5248d07c	spacequest/space_battle/ep3_slaver_khrask_space_battle_alt
0x52679650	spacequest/patrol/naboo_rebel_tier3_4_a
0x526a3e7f	quest/smuggler_reward_1
0x5276002a	quest/recovery_quest_rebel_fail_06
0x52856c8a	quest/ep3_myyydril_treesh_craft_1
0x528dc1e2	quest/test_wave_event
0x52a55e2a	quest/npe_job_pointer_raylen
0x52bfab2f	quest/ac_repeater_loruna_enf_30_dnpc2_hoolar_01
0x52c99a78	quest/mtp_map_quest_naboo_03
0x52d07195	spacequest/destroy_duty/tatooine_rebel_6
0x52d2ee85	quest/ep3_forest_adressa_destroy_1
0x52f371db	quest/c_bounty_hunter_kill_2
0x5303a374	spacequest/salvage/orion_rank3_01
0x530cc918	quest/outbreak_undead_rancor_boss_fight
0x53531110	quest/npe_side4
0x5353159a	quest/camp_beta_defense_01
0x536e60d8	quest/npe_pilot_medium_1
0x538a7d75	quest/som_kenobi_symbiosis_1
0x539911fd	spacequest/delivery/corellia_imperial_tier3_3a
0x5399bb29	quest/outbreak_quest_rescue_06
0x53a87575	spacequest/assassinate/stn_endor_irs_imp_tier3_1c
0x53ac79a0	quest/corellia_disappearances_3a_guilt
0x53ad05c7	quest/legacy_naboo_droid_module_4
0x53c4277f	spacequest/delivery_no_pickup/poi_tatooine_privateer_2_c
0x53e1bb38	quest/corellia_38_sidequest_01
0x53e823ce	spacequest/delivery_no_pickup/poi_tatooine_privateer_1
0x543d79ca	quest/npe_han_comm_entertainer
0x5441e3fc	spacequest/recovery/dathomir_station_priv_storyquest_01_b
0x546241e8	spacequest/space_battle/naboo_privateer_tier4_4c_win
0x54722c55	spacequest/assassinate/corellia_rebel_tier3_1_c
0x54746249	quest/corellia_cb_2
0x5479ba6d	quest/rtp_dodonna_01
0x54962128	quest/mtp_hideout_instance_kill_all_droids
0x54f0ab94	quest/outbreak_quest_administrative_building_neutral_03
0x553cd9d6	quest/ep3_rryatt_tressk_kill_gotal_hunters
0x5548dc45	spacequest/delivery/corellia_privateer_tier3_3
0x554c8493	spacequest/destroy_surpriseattack/tatooine_privateer_1
0x5554ccf0	quest/mtp_hideout_instance_kill_specific_droids_success
0x55591ffd	quest/legacy_button_jawatracks_pt3a
0x5569435b	spacequest/survival/corellia_tier2_final
0x5589721b	spacequest/recovery_duty/lok_imperial_ss_1b
0x55c0da22	spacequest/destroy_surpriseattack/tatooine_imperial_tier3_2_a
0x55e2a850	quest/corellia_cb_4_pointer
0x560887cf	quest/mtp_map_quest_naboo_02
0x560c1b7b	spacequest/recovery/tatooine_privateer_tier4_3c
0x5623227f	quest/npe_spy_comm
0x56326c6c	quest/c_bounty_hunter_kill_3
0x5636081b	quest/u16_nym_themepark_repair_sedimentation_tank
0x564639a1	quest/ep3_hunt_hracca_kkorrwrot_hunt
0x56769acf	spacequest/space_mining_destroy/restuss_rebel_mining_2
0x56923312	spacequest/destroy_surpriseattack/corellia_privateer_tier4_1c
0x56963d69	spacequest/assassinate/naboo_rebel_tier3_1
0x569f703b	spacequest/destroy_surpriseattack/naboo_imperial_tier3_3_a
0x56b71d9d	quest/recovery_quest_rebel_fail_07
0x56e6dc8a	quest/npe_journal_quest
0x56f916ff	quest/ep3_hunt_kerssoc_bantha_pelts
0x56fec9c9	quest/crash_site_01_imp_structures
0x570d9e2a	quest/crash_site_02_imp_domestics
0x5717716e	quest/ep3_forest_dahlia_epic_1
0x5719479f	spacequest/inspect/ep3_trando_mosolium_zssik_04
0x572b7723	quest/itp_thrawn_02
0x5758a69e	quest/outbreak_quest_rescue_07
0x575c0a31	quest/u16_nym_themepark_pirate_steal_mined_ore_collection
0x577c236f	spacequest/assassinate/naboo_imperial_tier3_4_c
0x57920ca7	quest/npe_side5
0x57af2528	spacequest/space_battle/corellia_imperial_tier4_4_c
0x57b8b4b2	quest/itp_veers_01
0x57dd8bbc	spacequest/delivery/test_delivery
0x57f9aefe	spacequest/recovery/ep3_heavy_xwing_recovery
0x5803335e	spacequest/assassinate/naboo_imperial_tier3_4
0x5816b18b	quest/talus_dearic_coa_opt_rebel_quest
0x58258ca5	spacequest/space_battle/naboo_imperial_tier4_4_d
0x5831e231	quest/itp_emperor_03
0x5849bcd7	spacequest/assassinate/stn_yavin4_company_all_debrisassassinate_tier2_1
0x5865333b	quest/npe_side_dungeon_dna
0x58a21848	spacequest/escort/tatooine_rebel_2
0x58d01420	spacequest/delivery_no_pickup/talus_station_mission2_2
0x58e5d6ed	quest/outbreak_quest_final_imperial
0x590f74f1	spacequest/assassinate/dath_bh_wanted_list_04
0x59160ebe	quest/rtp_mon_mothma_01
0x591a4e02	spacequest/delivery_no_pickup/talus_station_mission5_3
0x592279cf	quest/u16_nym_themepark_nym_arena
0x59374490	quest/corellia_cb_1
0x593a9cb4	quest/rtp_dodonna_02
0x594decfb	spacequest/assassinate/corellia_rebel_tier3_4
0x597ba013	quest/ep3_hunt_sordaan_webweaver_bet
0x59825f55	spacequest/inspect/stn_endor_irs_imp_tier3_2b
0x59b47353	spacequest/patrol/poi_tatooine_general_1
0x59db9fd9	spacequest/assassinate/naboo_imperial_tier2_4
0x59fbfaf2	spacequest/patrol/npe_emergence
0x5a1b8047	quest/outbreak_quest_rescue_04
0x5a257191	quest/restuss_imperial_st3_comm_array
0x5a3ce4cc	spacequest/assassinate/corellia_imperial_tier4_4
0x5a44bafa	quest/legacy_button_reb
0x5a5457b7	quest/ep3_forest_dahlia_epic_2
0x5a638056	quest/corellia_38_sidequest_03
0x5a6851fa	quest/itp_thrawn_01
0x5a6a18a0	spacequest/delivery_no_pickup/poi_tatooine_privateer_3
0x5a850a30	quest/npe_commando_reward
0x5a86b784	quest/npe_spy_try
0x5ac91956	quest/ep3_rryatt_krepauk_kill_walluga_smashers
0x5ad12ef4	quest/camp_beta_defense_03
0x5aec5bb6	quest/npe_pilot_medium_3
0x5aef90be	quest/ep3_hunt_sordaan_uller_bet_won
0x5afb926b	quest/itp_veers_02
0x5b0abdd2	quest/naboo_theed_goto_dunnels
0x5b35bc16	spacequest/space_mining_destroy/restuss_rebel_mining_1
0x5b47b7f4	spacequest/escort_duty/naboo_rebel_tier4_1
0x5b4ba116	quest/mtp_map_quest_naboo_01
0x5b5d2564	quest/event_gcwcheerleader_sfreb20
0x5b6300d6	spacequest/destroy_surpriseattack/corellia_rebel_tier3_4_b
0x5b76a676	quest/legacy_button_start
0x5b8b5b6d	quest/corellia_coronet_meatlump_act1_end
0x5b9c7982	spacequest/destroy_duty/yavin_rebel_9
0x5bbefbd7	quest/corellia_tyrena_slaver_access
0x5bc1fecc	quest/gcw_construct_tower
0x5be80511	quest/smuggler_reward_3
0x5bf43b44	quest/recovery_quest_rebel_fail_04
0x5bf75b9b	spacequest/patrol/naboo_rebel_tier3_2_b
0x5c0313dd	spacequest/delivery/tatooine_rebel_tier3_3
0x5c4a0e30	quest/test_retrieve_item
0x5c8d9f86	quest/ep3_myyydril_kirrir_talkto_4
0x5cac3381	quest/npe_pilot_train
0x5cc50720	quest/newbie_mayor_shinn_muggers
0x5cf0ff86	quest/itp_emperor_02
0x5cf3b56b	quest/ep3_hunt_loot_completed_all
0x5d21230a	spacequest/destroy/corellia_privateer_13a
0x5d2153b1	quest/prof_officer_11
0x5d35b94a	spacequest/destroy/naboo_imperial_tier3_4
0x5d7290fa	quest/outbreak_quest_administrative_building_neutral_01
0x5d8fc179	spacequest/escort/corellia_imperial_tier4_3
0x5d90684c	spacequest/recovery/corellia_privateer_tier3_1
0x5da60ed5	quest/ep3_hunt_loot_paleclaw_killed
0x5dab1eb4	quest/naboo_24_azure_cabal_01
0x5dd91e4d	spacequest/destroy_surpriseattack/corellia_rebel_tier3_1_b
0x5ddb53b5	spacequest/delivery_no_pickup/talus_station_mission5_2
0x5df34712	quest/c_smuggler_steal_1
0x5dfb8103	quest/rtp_dodonna_03
0x5dff54fa	quest/c_story1_4b_imperial
0x5e103343	quest/camp_beta_defense_02
0x5e11beb2	quest/som_hk_history_four
0x5e2d4601	quest/npe_pilot_medium_2
0x5e414e35	spacequest/assassinate/corellia_rebel_tier3_3_a
0x5e45a0fe	quest/corellia_droid_bunker_legacy_goto
0x5e602d44	spacequest/escort_duty/naboo_imperial_7
0x5e8782b4	quest/ep3_hunt_sordaan_webweaver_bet_won
0x5e8d008f	quest/legacy_button_jawatracks_reb_pt3_v2
0x5e954a00	quest/ep3_forest_dahlia_epic_3
0x5ea29de1	quest/corellia_38_sidequest_02
0x5ec95bac	quest/som_kenobi_symbiosis_2
0x5eda1b71	spacequest/space_mining_destroy/restuss_rebel_lok_mining_1
0x5eda9df0	quest/outbreak_quest_rescue_05
0x5edde0f7	spacequest/assassinate/corellia_rebel_4
0x5ede5c25	spacequest/assassinate/naboo_rebel_tier4_2
0x5eeeeaab	spacequest/patrol/naboo_rebel_tier3_3_c
0x5ef9e25b	quest/corsec_captain_aldalad
0x5efd5451	quest/outbreak_quest_rescue_03_success
0x5f080aba	quest/ep3_myyydril_yraka_epic_1
0x5f0fee00	spacequest/assassinate/ep3_slaver_lord_cyssc_final
0x5f24850d	quest/mtp_hideout_instance_escort_trapped_meatlump_success
0x5f2918a6	quest/smuggler_reward_2
