bookName	pageName	collectionName	slotName	beginSlotId	endSlotId	maxSlotValue	category1	category2	category3	category4	category5	category6	category7	category8	category9	category10	category11	prereqSlotName1	prereqSlotName2	prereqSlotName3	prereqSlotName4	prereqSlotName5	icon	music	showIfNotYetEarned	hidden	title	alternateTitle1	alternateTitle2	alternateTitle3	alternateTitle4	alternateTitle5	noReward	trackServerFirst	Comments	string_name	string_detail
			sith_holocron_02_04	1789																																Sith Holocron 4/5	You found a Sith Holocron.
			sith_holocron_02_05	1790																																Sith Holocron 5/5	You found a Sith Holocron.
	rocks																																			Rocks	
		col_rock_bubbling																																1		Bubbling Rock Collection	Bubbling Rock Collection
			rock_bubbling_activation_01	2714																						1											
			bubbling_rock_01	522														rock_bubbling_activation_01																		Bubbling Rock	You found a Bubbling Rock.
			bubbling_rock_02	523														rock_bubbling_activation_01																		Bubbling Rock	You found a Bubbling Rock.
			bubbling_rock_03	524														rock_bubbling_activation_01																		Bubbling Rock	You found a Bubbling Rock.
			bubbling_rock_04	525														rock_bubbling_activation_01																		Bubbling Rock	You found a Bubbling Rock.
			bubbling_rock_05	526														rock_bubbling_activation_01																		Bubbling Rock	You found a Bubbling Rock.
			bubbling_rock_06	527														rock_bubbling_activation_01																		Bubbling Rock	You found a Bubbling Rock.
			bubbling_rock_07	528														rock_bubbling_activation_01																		Bubbling Rock	You found a Bubbling Rock.
			bubbling_rock_08	529														rock_bubbling_activation_01																		Bubbling Rock	You found a Bubbling Rock.
			bubbling_rock_09	530														rock_bubbling_activation_01																		Bubbling Rock	You found a Bubbling Rock.
			bubbling_rock_10	531														rock_bubbling_activation_01																		Bubbling Rock	You found a Bubbling Rock.
		col_rock_steaming																																1		Steaming Rock Collection	Steaming Rock Collection
			rock_steaming_activation_01	2712																						1											
			steaming_rock_01	532														rock_steaming_activation_01																		Steaming Rock	You found a Steaming Rock.
			steaming_rock_02	533														rock_steaming_activation_01																		Steaming Rock	You found a Steaming Rock.
			steaming_rock_03	534														rock_steaming_activation_01																		Steaming Rock	You found a Steaming Rock.
			steaming_rock_04	535														rock_steaming_activation_01																		Steaming Rock	You found a Steaming Rock.
			steaming_rock_05	536														rock_steaming_activation_01																		Steaming Rock	You found a Steaming Rock.
			steaming_rock_06	537														rock_steaming_activation_01																		Steaming Rock	You found a Steaming Rock.
			steaming_rock_07	538														rock_steaming_activation_01																		Steaming Rock	You found a Steaming Rock.
			steaming_rock_08	539														rock_steaming_activation_01																		Steaming Rock	You found a Steaming Rock.
			steaming_rock_09	540														rock_steaming_activation_01																		Steaming Rock	You found a Steaming Rock.
			steaming_rock_10	541														rock_steaming_activation_01																		Steaming Rock	You found a Steaming Rock.
		col_rock_glowing																																1		Glowing Rock Collection	Glowing Rock Collection
			rock_glowing_activation_01	2716																						1											
			glowing_rock_01	542														rock_glowing_activation_01																		Glowing Rock	You found a Glowing Rock.
			glowing_rock_02	543														rock_glowing_activation_01																		Glowing Rock	You found a Glowing Rock.
			glowing_rock_03	544														rock_glowing_activation_01																		Glowing Rock	You found a Glowing Rock.
			glowing_rock_04	545														rock_glowing_activation_01																		Glowing Rock	You found a Glowing Rock.
			glowing_rock_05	546														rock_glowing_activation_01																		Glowing Rock	You found a Glowing Rock.
			glowing_rock_06	547														rock_glowing_activation_01																		Glowing Rock	You found a Glowing Rock.
			glowing_rock_07	548														rock_glowing_activation_01																		Glowing Rock	You found a Glowing Rock.
			glowing_rock_08	549														rock_glowing_activation_01																		Glowing Rock	You found a Glowing Rock.
			glowing_rock_09	550														rock_glowing_activation_01																		Glowing Rock	You found a Glowing Rock.
			glowing_rock_10	551														rock_glowing_activation_01																		Glowing Rock	You found a Glowing Rock.
		col_rock_burning																																1		Burning Rock Collection	Burning Rock Collection
			rock_burning_activation_01	2715																						1											
			burning_rock_01	552														rock_burning_activation_01																		Burning Rock	You found a Burning Rock.
			burning_rock_02	553														rock_burning_activation_01																		Burning Rock	You found a Burning Rock.
			burning_rock_03	554														rock_burning_activation_01																		Burning Rock	You found a Burning Rock.
			burning_rock_04	555														rock_burning_activation_01																		Burning Rock	You found a Burning Rock.
			burning_rock_05	556														rock_burning_activation_01																		Burning Rock	You found a Burning Rock.
			burning_rock_06	557														rock_burning_activation_01																		Burning Rock	You found a Burning Rock.
			burning_rock_07	558														rock_burning_activation_01																		Burning Rock	You found a Burning Rock.
			burning_rock_08	559														rock_burning_activation_01																		Burning Rock	You found a Burning Rock.
			burning_rock_09	560														rock_burning_activation_01																		Burning Rock	You found a Burning Rock.
			burning_rock_10	561														rock_burning_activation_01																		Burning Rock	You found a Burning Rock.
	history																																			History	
		col_story_count_dooku																																1		The story of Count Dooku	
			dooku_datadisk_01	2624																																Dooku's Story - Data disk 1	"Padawan - The data disk tells the story of Dooku's youth and training in the Jedi Order. Born from nobility, the young Dooku was trained as a Jedi from an early age. During his years as a padawan he trained under some of the greatest Jedi of his time."
			dooku_datadisk_02	2625																																Dooku's Story - Data disk 2	"Jedi Master - The data disk describes Dooku's promotion to Jedi Knight and the training of padawan of his own, including Qui-Gon Jinn. Dooku was granted the rank of Jedi Master with Qui-Gon Jinn's successful passage from Padawan to Jedi Knight."
			dooku_datadisk_03	2626																																Dooku's Story - Data disk 3	"Leaving the Order - The data disk tells of Dooku and his loss of faith in the Republic and the Jedi Order. Shortly after the Battle of Naboo and the death of his former student, Qui-Gon Jinn, Dooku formally left the Jedi Order."
			dooku_datadisk_04	2627																																Dooku's Story - Data disk 4	Embracing the Dark Side - The data disk contains the story of how Dooku assumed his inherited title of Count and rose to be one of the leaders of the Separatists' Movement prior to the outbreak of the Clone War.
			dooku_datadisk_05	2628																																Dooku's Story - Data disk 5	"Dooku's Death - On the final data disk, the last years of Count Dooku's life are recorded. Here, many of his actions during the Clone War are told. The story ends with his death, at the hands of Anakin Skywalker, during the Battle of Coruscant."
		family_story_flower																															1	1		Flowers for the Forgotten	
			family_flower_01	5592																																A Bouquet of Flowers	Finding these flowers brings memories of a distant relative.  Head to Rori and place these flowers at the relative's grave.
			family_flower_02	5593																																A Bouquet of Flowers	Finding these flowers brings memories of a distant relative.  Head to Yavin IV and place these flowers at the relative's grave.
			family_flower_03	5594																																A Bouquet of Flowers	Finding these flowers brings memories of a distant relative.  Head to Dantooine and place these flowers at the relative's grave.
			family_flower_04	5595																																A Bouquet of Flowers	Finding these flowers brings memories of a distant relative.  Head to Dathomir and place these flowers at the relative's grave.
			family_flower_05	5596																																A Bouquet of Flowers	Finding these flowers brings memories of a distant relative.  Head to Tatooine and place these flowers at the relative's grave.
		family_story_grave																																1		A Grave Memorial	
			family_grave_01	5597														family_flower_01																		Ancestral Grave	You have located and placed flowers at your distant relative's grave on Rori.
			family_grave_02	5598														family_flower_02																		Ancestral Grave	You have located and placed flowers at your distant relative's grave on Yavin IV.
			family_grave_03	5599														family_flower_03																		Ancestral Grave	You have located and placed flowers at your distant relative's grave on Dantooine.
			family_grave_04	5600														family_flower_04																		Ancestral Grave	You have located and placed flowers at your distant relative's grave on Dathomir.
			family_grave_05	5601														family_flower_05																		Ancestral Grave	You have located and placed flowers at your distant relative's grave on Tatooine.
		exar_kun_lost_journal																																1		Walter Emanus' Lost Journal	
			lost_journal_page_01	5707																																"Walter Emanus' Lost Journal, Page 1"	You found page 1 of Walter Emanus' lost journal.
			lost_journal_page_02	5708																																"Walter Emanus' Lost Journal, Page 2"	You found page 2 of Walter Emanus' lost journal.
			lost_journal_page_03	5709																																"Walter Emanus' Lost Journal, Page 3"	You found page 3 of Walter Emanus' lost journal.
			lost_journal_page_04	5710																																"Walter Emanus' Lost Journal, Page 4"	You found page 4 of Walter Emanus' lost journal.
			lost_journal_page_05	5711																																"Walter Emanus' Lost Journal, Page 5"	You found page 5 of Walter Emanus' lost journal.
			lost_journal_page_06	5712																																"Walter Emanus' Lost Journal, Page 6"	You found page 6 of Walter Emanus' lost journal.
			lost_journal_page_07	5713																																"Walter Emanus' Lost Journal, Page 7"	You found page 7 of Walter Emanus' lost journal.
			lost_journal_page_08	5714																																"Walter Emanus' Lost Journal, Page 8"	You found page 8 of Walter Emanus' lost journal.
	contraband_page																																			Contraband	
		col_contraband_01																																1		Chemical Agents	
			col_contraband_01_item_01	4765																																Contraband 1/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_01_item_02	4766																																Contraband 2/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_01_item_03	4767																																Contraband 3/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_01_item_04	4768																																Contraband 4/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_01_item_05	4769																																Contraband 5/5	You found some contraband.  You may want to keep this a secret.
		col_contraband_02																																1		Unauthorized Access	
			col_contraband_02_item_01	4770																																Account Access Data 1/5	"You have stumbled upon what looks to be numerous bank account numbers.  Unfortunately, not all of the information is here.  Find the remaining information"
			col_contraband_02_item_02	4771																																Account Access Data 2/5	"You have stumbled upon what looks to be numerous bank account numbers.  Unfortunately, not all of the information is here.  Find the remaining information"
			col_contraband_02_item_03	4772																																Account Access Data 3/5	"You have stumbled upon what looks to be numerous bank account numbers.  Unfortunately, not all of the information is here.  Find the remaining information"
			col_contraband_02_item_04	4773																																Account Access Data 4/5	"You have stumbled upon what looks to be numerous bank account numbers.  Unfortunately, not all of the information is here.  Find the remaining information"
			col_contraband_02_item_05	4774																																Account Access Data 5/5	"You have stumbled upon what looks to be numerous bank account numbers.  Unfortunately, not all of the information is here.  Find the remaining information"
		col_contraband_03																																1		Forbidden Fruit	
			col_contraband_03_item_01	4901																																Contraband 1/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_03_item_02	4902																																Contraband 2/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_03_item_03	4903																																Contraband 3/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_03_item_04	4904																																Contraband 4/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_03_item_05	4905																																Contraband 5/5	You found some contraband.  You may want to keep this a secret.
		col_contraband_04																																1		False Information	
			col_contraband_04_item_01	4906																																Contraband 1/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_04_item_02	4907																																Contraband 2/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_04_item_03	4908																																Contraband 3/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_04_item_04	4909																																Contraband 4/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_04_item_05	4910																																Contraband 5/5	You found some contraband.  You may want to keep this a secret.
		col_contraband_05																																1		Counterfeit Credits	
			col_contraband_05_item_01	4780																																Contraband 1/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_05_item_02	4781																																Contraband 2/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_05_item_03	4782																																Contraband 3/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_05_item_04	4783																																Contraband 4/5	You found some contraband.  You may want to keep this a secret.
			col_contraband_05_item_05	4784																																Contraband 5/5	You found some contraband.  You may want to keep this a secret.
		col_contraband_tier_02																																1		Contraband Roundup	
			col_contraband_tier2_item_01	4775																																Chemical Agents	You have completed the Contraband Collection: Chemical Agents
			col_contraband_tier2_item_02	4776																																Account Access Data	You have completed the Contraband Collection: Unauthorized Access
			col_contraband_tier2_item_03	4777																																Forbidden Fruit	You have completed the Contraband Collection: Forbidden Fruit
			col_contraband_tier2_item_04	4778																																False Information	You have completed the Contraband Collection: False Information
			col_contraband_tier2_item_05	4779																																Counterfeit Credits	You have completed the Contraband Collection: Counterfeit Credits
	shard_fragments																																			Rare Crystal Shards	
		col_shattered_shards_01																																		Shattered Shard Fragments	Shattered Shard Fragments
			col_shattered_shard_piece_01	4785			clearOnComplete																													Shattered Shard Fragment 1/10	You found a fragment of a shattered shard.
			col_shattered_shard_piece_02	4786			clearOnComplete																													Shattered Shard Fragment 2/10	You found a fragment of a shattered shard.
			col_shattered_shard_piece_03	4787			clearOnComplete																													Shattered Shard Fragment 3/10	You found a fragment of a shattered shard.
			col_shattered_shard_piece_04	4788			clearOnComplete																													Shattered Shard Fragment 4/10	You found a fragment of a shattered shard.
			col_shattered_shard_piece_05	4789			clearOnComplete																													Shattered Shard Fragment 5/10	You found a fragment of a shattered shard.
			col_shattered_shard_piece_06	4790			clearOnComplete																													Shattered Shard Fragment 6/10	You found a fragment of a shattered shard.
			col_shattered_shard_piece_07	4791			clearOnComplete																													Shattered Shard Fragment 7/10	You found a fragment of a shattered shard.
			col_shattered_shard_piece_08	4792			clearOnComplete																													Shattered Shard Fragment 8/10	You found a fragment of a shattered shard.
			col_shattered_shard_piece_09	4793			clearOnComplete																													Shattered Shard Fragment 9/10	You found a fragment of a shattered shard.
			col_shattered_shard_piece_10	4794			clearOnComplete																													Shattered Shard Fragment 10/10	You found a fragment of a shattered shard.
		col_damind_shards_01																																1		Damind Shards	
			col_damind_shard_piece_01	4795																																Damind Shard 1/5	You have collected Damind Shard 1/5
			col_damind_shard_piece_02	4796																																Damind Shard 2/5	You have collected Damind Shard 2/5
			col_damind_shard_piece_03	4797																																Damind Shard 3/5	You have collected Damind Shard 3/5
			col_damind_shard_piece_04	4798																																Damind Shard 4/5	You have collected Damind Shard 4/5
			col_damind_shard_piece_05	4799																																Damind Shard 5/5	You have collected Damind Shard 5/5
		col_bondar_shards_01																																1		Bondar Shards	
			col_bondar_shard_piece_01	4800																																Bondar Shard 1/5	You have collected Bondar Shard 1/5
			col_bondar_shard_piece_02	4801																																Bondar Shard 2/5	You have collected Bondar Shard 2/5
			col_bondar_shard_piece_03	4802																																Bondar Shard 3/5	You have collected Bondar Shard 3/5
			col_bondar_shard_piece_04	4803																																Bondar Shard 4/5	You have collected Bondar Shard 4/5
			col_bondar_shard_piece_05	4804																																Bondar Shard 5/5	You have collected Bondar Shard 5/5
		col_kasha_shards_01																																1		Kasha Shards	
			col_kasha_shard_piece_01	4805																																Kasha Shard 1/5	You have collected Kasha Shard 1/5
			col_kasha_shard_piece_02	4806																																Kasha Shard 2/5	You have collected Kasha Shard 2/5
			col_kasha_shard_piece_03	4807																																Kasha Shard 3/5	You have collected Kasha Shard 3/5
			col_kasha_shard_piece_04	4808																																Kasha Shard 4/5	You have collected Kasha Shard 4/5
			col_kasha_shard_piece_05	4809																																Kasha Shard 5/5	You have collected Kasha Shard 5/5
		col_eralam_shards_01																																1		Eralam Shards	
			col_eralam_shard_piece_01	4810																																Eralam Shard 1/5	You have collected Eralam Shard 1/5
			col_eralam_shard_piece_02	4811																																Eralam Shard 2/5	You have collected Eralam Shard 2/5
			col_eralam_shard_piece_03	4812																																Eralam Shard 3/5	You have collected Eralam Shard 3/5
			col_eralam_shard_piece_04	4813																																Eralam Shard 4/5	You have collected Eralam Shard 4/5
			col_eralam_shard_piece_05	4814																																Eralam Shard 5/5	You have collected Eralam Shard 5/5
		col_luxum_shards_01																																1		Luxum Shards	
			col_luxum_shard_piece_01	4815																																Luxum Shard 1/5	You have collected Luxum Shard 1/5
			col_luxum_shard_piece_02	4816																																Luxum Shard 2/5	You have collected Luxum Shard 2/5
			col_luxum_shard_piece_03	4817																																Luxum Shard 3/5	You have collected Luxum Shard 3/5
			col_luxum_shard_piece_04	4818																																Luxum Shard 4/5	You have collected Luxum Shard 4/5
			col_luxum_shard_piece_05	4819																																Luxum Shard 5/5	You have collected Luxum Shard 5/5
		col_shattered_shards_02																																1		Crystals	
			col_damind_shards_01_reward	4820																																Damind Crystal	You have reconstructed a Damind Crystal.
			col_bondar_shards_01_reward	4821																																Bondar Crystal	You have reconstructed a Bondar Crystal.
			col_kasha_shards_01_reward	4822																																Kasha Crystal	You have reconstructed a Kasha Crystal.
			col_eralam_shards_01_reward	4823																																Eralam Crystal	You have reconstructed an Eralam Crystal.
			col_luxum_shards_01_reward	4824																																Luxum Crystal	You have reconstructed a Luxum Crystal.
	rare_gems																																			Gem Collections	Gem Collections
		col_square_green_cut_gem_01																																1		Green Cushion-Cut Gems	
			square_green_gem_style1_01	4825			clearOnComplete																													Green Pikach	You collected a green Pikach cushion cut gem.
			square_green_gem_style1_02	4826			clearOnComplete																													Green Artusian	You collected a green Artusian cushion cut gem.
			square_green_gem_style1_03	4827			clearOnComplete																													Green Bal'ta'ran	You collected a green Bal'ta'ran cushion cut gem.
			square_green_gem_style1_04	4828			clearOnComplete																													Green Bondar	You collected a green Bondar cushion cut gem.
			square_green_gem_style1_05	4829			clearOnComplete																													Green Chrysopaz	You collected a green Chrysopaz cushion cut gem.
			square_green_gem_style1_06	4830			clearOnComplete																													Green Durindfire	You collected a green Durindfire cushion cut gem.
			square_green_gem_style1_07	4831			clearOnComplete																													Green Vertex	You collected a green Vertex cushion cut gem.
			square_green_gem_style1_08	4832			clearOnComplete																													Green Dragite	You collected a green Dragite cushion cut gem.
			square_green_gem_style1_09	4833			clearOnComplete																													Green Firefacet	You collected a green Firefacet cushion cut gem.
			square_green_gem_style1_10	4834			clearOnComplete																													Green Jenruax	You collected a green Jenruax cushion cut gem.
		col_square_green_cut_gem_02																																1		Green Square-Cut Gems	
			square_green_gem_style2_01	4835																																Green Square-Cut Gem 1/10	You found a green square-cut gem.
			square_green_gem_style2_02	4836																																Green Square-Cut Gem 2/10	You found a green square-cut gem.
			square_green_gem_style2_03	4837																																Green Square-Cut Gem 3/10	You found a green square-cut gem.
			square_green_gem_style2_04	4838																																Green Square-Cut Gem 4/10	You found a green square-cut gem.
			square_green_gem_style2_05	4839																																Green Square-Cut Gem 5/10	You found a green square-cut gem.
			square_green_gem_style2_06	4840																																Green Square-Cut Gem 6/10	You found a green square-cut gem.
			square_green_gem_style2_07	4841																																Green Square-Cut Gem 7/10	You found a green square-cut gem.
			square_green_gem_style2_08	4842																																Green Square-Cut Gem 8/10	You found a green square-cut gem.
			square_green_gem_style2_09	4843																																Green Square-Cut Gem 9/10	You found a green square-cut gem.
			square_green_gem_style2_10	4844																																Green Square-Cut Gem 10/10	You found a green square-cut gem.
		col_round_purple_cut_gem_01																																1		Purple Round-Cut Gems	
			round_purple_gem_style1_01	4845			clearOnComplete																													Purple Pikach	You collected a purple Pikach round cut gem.
			round_purple_gem_style1_02	4846			clearOnComplete																													Purple Artusian	You collected a purple Artusian round cut gem.
			round_purple_gem_style1_03	4847			clearOnComplete																													Purple Bal'ta'ran	You collected a purple Bal'ta'ran round cut gem.
			round_purple_gem_style1_04	4848			clearOnComplete																													Purple Bondar	You collected a purple Bondar round cut gem.
			round_purple_gem_style1_05	4849			clearOnComplete																													Purple Chrysopaz	You collected a purple Chrysopaz round cut gem.
			round_purple_gem_style1_06	4850			clearOnComplete																													Purple Durindfire	You collected a purple Durindfire round cut gem.
			round_purple_gem_style1_07	4851			clearOnComplete																													Purple Vertex	You collected a purple Vertex round cut gem.
			round_purple_gem_style1_08	4852			clearOnComplete																													Purple Dragite	You collected a purple Dragite round cut gem.
			round_purple_gem_style1_09	4853			clearOnComplete																													Purple Firefacet	You collected a purple Firefacet round cut gem.
			round_purple_gem_style1_10	4854			clearOnComplete																													Purple Jenruax	You collected a purple Jenruax round cut gem.
		col_round_purple_cut_gem_02																																1		Purple Round-Cut Gems	
			round_purple_gem_style2_01	4855																																Purple Round-Cut Gem 1/10	You found a purple round-cut gem.
			round_purple_gem_style2_02	4856																																Purple Round-Cut Gem 2/10	You found a purple round-cut gem.
			round_purple_gem_style2_03	4857																																Purple Round-Cut Gem 3/10	You found a purple round-cut gem.
			round_purple_gem_style2_04	4858																																Purple Round-Cut Gem 4/10	You found a purple round-cut gem.
			round_purple_gem_style2_05	4859																																Purple Round-Cut Gem 5/10	You found a purple round-cut gem.
			round_purple_gem_style2_06	4860																																Purple Round-Cut Gem 6/10	You found a purple round-cut gem.
			round_purple_gem_style2_07	4861																																Purple Round-Cut Gem 7/10	You found a purple round-cut gem.
			round_purple_gem_style2_08	4862																																Purple Round-Cut Gem 8/10	You found a purple round-cut gem.
			round_purple_gem_style2_09	4863																																Purple Round-Cut Gem 9/10	You found a purple round-cut gem.
			round_purple_gem_style2_10	4864																																Purple Round-Cut Gem 10/10	You found a purple round-cut gem.
		col_round_red_cut_gem_01																																1		Red Round-Cut Gems	
			round_red_gem_style1_01	4865			clearOnComplete																													Red Pikach	You collected a Red Pikach round cut gem.
			round_red_gem_style1_02	4866			clearOnComplete																													Red Artusian	You collected a Red Artusian round cut gem.
			round_red_gem_style1_03	4867			clearOnComplete																													Red Bal'ta'ran	You collected a Red Bal'ta'ran round cut gem.
			round_red_gem_style1_04	4868			clearOnComplete																													Red Bondar	You collected a Red Bondar round cut gem.
			round_red_gem_style1_05	4869			clearOnComplete																													Red Chrysopaz	You collected a Red Chrysopaz round cut gem.
			round_red_gem_style1_06	4870			clearOnComplete																													Red Durindfire	You collected a Red Durindfire round cut gem.
			round_red_gem_style1_07	4871			clearOnComplete																													Red Vertex	You collected a Red Vertex round cut gem.
			round_red_gem_style1_08	4872			clearOnComplete																													Red Dragite	You collected a Red Dragite round cut gem.
			round_red_gem_style1_09	4873			clearOnComplete																													Red Firefacet	You collected a Red Firefacet round cut gem.
			round_red_gem_style1_10	4874			clearOnComplete																													Red Jenruax	You collected a Red Jenruax round cut gem.
		col_round_red_cut_gem_02																																1		Red Round-Cut Gems	
			round_red_gem_style2_01	4875																																Red Round-Cut Gem 1/10	You found a red round-cut gem.
			round_red_gem_style2_02	4876																																Red Round-Cut Gem 2/10	You found a red round-cut gem.
			round_red_gem_style2_03	4877																																Red Round-Cut Gem 3/10	You found a red round-cut gem.
			round_red_gem_style2_04	4878																																Red Round-Cut Gem 4/10	You found a red round-cut gem.
			round_red_gem_style2_05	4879																																Red Round-Cut Gem 5/10	You found a red round-cut gem.
			round_red_gem_style2_06	4880																																Red Round-Cut Gem 6/10	You found a red round-cut gem.
			round_red_gem_style2_07	4881																																Red Round-Cut Gem 7/10	You found a red round-cut gem.
			round_red_gem_style2_08	4882																																Red Round-Cut Gem 8/10	You found a red round-cut gem.
			round_red_gem_style2_09	4883																																Red Round-Cut Gem 9/10	You found a red round-cut gem.
			round_red_gem_style2_10	4884																																Red Round-Cut Gem 10/10	You found a red round-cut gem.
	hoth_collections																																			Hoth	
		col_hoth_frozen_tauntaun_01																																1		Chilling Preservation	
			hoth_frozen_tauntaun	6208	6214	10																														a frozen Tauntaun	You found a frozen Tauntaun
		col_hoth_meteorite_01																																1		Hoth Meteorites	
			hoth_meteorite_01	6215	6221	10																														Hoth meteorites	You found a collection of Hoth meteorites.
decor_book																																				Decorations	Decoration Collections
	decor_items																																			Decorative Item Collections	
		col_eng_trader																																1		Prototype IG-88	Prototype IG-88
			trader_eng_head	2574																																Prototype IG-88 Head	You found a Prototype IG-88 Head.
			trader_eng_left_arm	2575																																Prototype IG-88 Left Arm	You found a Prototype IG-88 Left Arm.
			trader_eng_right_arm	2576																																Prototype IG-88 Right Arm	You found a Prototype IG-88 Right Arm.
			trader_eng_left_leg	2577																																Prototype IG-88 Left Leg	You found a Prototype IG-88 Left Leg.
			trader_eng_right_leg	2578																																Prototype IG-88 Right Leg	You found a Prototype IG-88 Right Leg.
			trader_eng_torso	2579																																Prototype IG-88 Torso	You found a Prototype IG-88 Torso.
			trader_eng_stand_base	2580																																Prototype IG-88 Stand	You found a Prototype IG-88 Stand.
		col_mun_trader																																1		Prototype Stormtrooper	Prototype Stormtrooper
			trader_mun_head	2581																																Prototype Stormtrooper Head	You found a Prototype Stormtrooper Head.
			trader_mun_left_arm	2582																																Prototype Stormtrooper Left Arm	You found a Prototype Stormtrooper Left Arm.
			trader_mun_right_arm	2583																																Prototype Stormtrooper Right Arm	You found a Prototype Stormtrooper Right Arm.
			trader_mun_left_leg	2584																																Prototype Stormtrooper Left Leg	You found a Prototype Stormtrooper Left Leg.
			trader_mun_right_leg	2585																																Prototype Stormtrooper Right Leg	You found a Prototype Stormtrooper Right Leg.
			trader_mun_torso	2586																																Prototype Stormtrooper Torso	You found a Prototype Stormtrooper Torso.
			trader_mun_stand_base	2587																																Prototype Stormtrooper Stand	You found a Prototype Stormtrooper Stand.
		col_aurebesh_tiles																																1		Aurebesh Tiles	
			aurek	2629																																Aurek	You found an Aurebesh Tile.
			besh	2630																																Besh	You found an Aurebesh Tile.
			cresh	2632																																Cresh	You found an Aurebesh Tile.
			dorn	2633																																Dorn	You found an Aurebesh Tile.
			esk	2635																																Esk	You found an Aurebesh Tile.
			forn	2636																																Forn	You found an Aurebesh Tile.
			grek	2637																																Grek	You found an Aurebesh Tile.
			herf	2638																																Herf	You found an Aurebesh Tile.
			isk	2639																																Isk	You found an Aurebesh Tile.
			jenth	2640																																Jenth	You found an Aurebesh Tile.
			krill	2642																																Krill	You found an Aurebesh Tile.
			leth	2643																																Leth	You found an Aurebesh Tile.
			mern	2644																																Mern	You found an Aurebesh Tile.
			nern	2646																																Nern	You found an Aurebesh Tile.
			osk	2649																																Osk	You found an Aurebesh Tile.
			peth	2650																																Peth	You found an Aurebesh Tile.
			qek	2651																																Qek	You found an Aurebesh Tile.
			resh	2652																																Resh	You found an Aurebesh Tile.
			senth	2653																																Senth	You found an Aurebesh Tile.
			trill	2656																																Trill	You found an Aurebesh Tile.
			usk	2657																																Usk	You found an Aurebesh Tile.
			vev	2658																																Vev	You found an Aurebesh Tile.
			wesk	2659																																Wesk	You found an Aurebesh Tile.
			xesh	2660																																Xesh	You found an Aurebesh Tile.
			yirt	2661																																Yirt	You found an Aurebesh Tile.
			zerek	2662																																Zerek	You found an Aurebesh Tile.
			cherek	2631																																Cherek	You found an Aurebesh Tile.
			enth	2634																																Enth	You found an Aurebesh Tile.
			onith	2647																																Onith	You found an Aurebesh Tile.
			kerenth	2641																																Kerenth	You found an Aurebesh Tile.
			nen	2645																																Nen	You found an Aurebesh Tile.
			orenth	2648																																Orenth	You found an Aurebesh Tile.
			shen	2654																																Shen	You found an Aurebesh Tile.
			thesh	2655																																Thesh	You found an Aurebesh Tile.
	housing_improvement																																			Housing Improvement	
		force_shui_01																																1		Force Shui - Pitch	
			force_shui_painting_01	5214																																An Inverted Painting	You have adjusted a painting that was not hung correctly.
			force_shui_painting_02	5215																																An Askew Painting	You have adjusted a painting that was not hung correctly.
			force_shui_painting_03	5216																																An Askew Painting	You have adjusted a painting that was not hung correctly.
			force_shui_painting_04	5217																																An Inverted Painting	You have adjusted a painting that was not hung correctly.
			force_shui_painting_05	5218																																An Askew Painting	You have adjusted a painting that was not hung correctly.
		force_shui_02																																1		Force Shui - Roll	
			force_shui_table_01	5219																																A Slanted End Table	You have adjusted an end table that was not placed properly.
			force_shui_table_02	5220																																A Slanted End Table	You have adjusted an end table that was not placed properly.
			force_shui_table_03	5221																																A Slanted End Table	You have adjusted an end table that was not placed properly.
			force_shui_table_04	5222																																A Slanted End Table	You have adjusted an end table that was not placed properly.
			force_shui_table_05	5223																																A Slanted End Table	You have adjusted an end table that was not placed properly.
		force_shui_tier_02																									1							1		Master of Force Shui 	
			completed_force_shui_01	5224																																Force Shui - Pitch Collection	Your sense of alignment increases your ability to decorate
			completed_force_shui_02	5225																																Force Shui - Roll Collection	Your sense of alignment increases your ability to decorate
		col_dust_durni_01																																1		Dust Durni	
			dust_durni_01	5334																																an unsightly Dust Durni	"Doing your part to keep the Space Station clean, you dispose of the Dust Durni."
			dust_durni_02	5335																																an unsightly Dust Durni	"Doing your part to keep the Space Station clean, you dispose of the Dust Durni."
			dust_durni_03	5336																																an unsightly Dust Durni	"Doing your part to keep the Space Station clean, you dispose of the Dust Durni."
			dust_durni_04	5337																																an unsightly Dust Durni	"Doing your part to keep the Space Station clean, you dispose of the Dust Durni."
			dust_durni_05	5338																																an unsightly Dust Durni	"Doing your part to keep the Space Station clean, you dispose of the Dust Durni."
			dust_durni_06	5339																																an unsightly Dust Durni	"Doing your part to keep the Space Station clean, you dispose of the Dust Durni."
