key	level	minscale	maxscale	mindrainmodifier	maxdrainmodifier	minfaucetmodifier	maxfaucetmodifier	minhealth	maxhealth	minstrength	maxstrength	minconstitution	maxconstitution	minaction	maxaction	minquickness	maxquickness	minstamina	maxstamina	minmind	maxmind	minfocus	maxfocus	minwillpower	maxwillpower	defaultweapon	attackspeed	xp	scripts	objvars	faction	fleepercent	clothes	equipment	mindamage	maxdamage	tohitchance	species	utterance
Sergeant	11	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Lieutenant-Colonel	12	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Alliance Intelligence Case Officer	12	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Major-General	12	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Master Sergeant	12	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Pirate	12	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	pirate_medium.iff		10	20	0.25	species_choices_all.iff	thug.stf
Sharpshooter	12	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Terrorist	12	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Colonel	13	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Lieutenant	13	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Lieutenant-Colonel	13	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
High Colonel	14	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Veteran CompForce trooper	14	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Colonel	14	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Senior Lieutenant	14	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
SpecOps Agent	14	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Brigadier-General	15	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Brigadier-General	15	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Captain	15	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Commando	15	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Commando	15	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Pirate lieutenant	15	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	pirate_medium.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Major-General	16	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Major	16	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Major-General	16	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
SpyNet operative	17	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Lieutenant-General	17	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Colonel	17	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Lieutenant-General	17	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Pirate leader	17	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	pirate_hard.iff		10	20	0.25	species_choices_all.iff	artisan.stf
SpecOps Alliance Free Agent	17	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
General	18	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Assassin	18	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
General	18	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
General	18	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
High General	19	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Bounty Hunter	19	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
High General	19	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Surface Marshal	20	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Surface Marshal	20	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Teras Kasi Master	20	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Lesser Prophet of the Dark Side	85	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Imperial Inquisitor	100	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Prophet of the Dark Side	100	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Senior Prophet of the Dark Side	115	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Master Prophet of the Dark Side	130	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Emperor's Hand	150	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
MysticNerfHerder	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	unarmed	0.5	1	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		1	1	0.25	species_choices_all.iff	thug.stf
