npc_type	table	chance
kashyyyk_bolotaur	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:bolotaur	10000
kashyyyk_minstyngar	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:minstyngar	10000
kashyyyk_mouf	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:mouf	10000
kashyyyk_uller	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:uller	10000
kashyyyk_walluga	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:walluga	10000
kashyyyk_webweaver	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:webweaver	10000
kashyyyk_bantha	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:kashyyyk_bantha	10000
kashyyyk_roroo	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:roroo	10000
kashyyyk_pug_jumper	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:pug_jumper	10000
kashyyyk_kkryytch	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:kkryytch	10000
kashyyyk_sathog	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:sathog	10000
kashyyyk_jyykle_vulture	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:jyykle_vulture	10000
kashyyyk_fern_bicker	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:fern_bicker	10000
etyyy_brightclaw	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:etyyy_brightclaw	10000
	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:mouf	10000
etyyy_greyclimber	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:etyyy_greyclimber	10000
	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:kashyyyk_bantha	10000
etyyy_paleclaw	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:etyyy_paleclaw	10000
	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:mouf	10000
etyyy_silkthrower	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:etyyy_silkthrower	10000
	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:webweaver	10000
etyyy_spiketop	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:etyyy_spiketop	10000
	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:uller	10000
etyyy_stoneleg	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:etyyy_stoneleg	10000
	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:walluga	10000
sayormi	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:sayormi	10000
uwari	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:uwari	10000
sayormi_witch	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:sayormi_witch	10000
sayormi_monk	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:sayormi_monk	10000
sayormi_warrior	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:sayormi_warrior	10000
sayormi_queen	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:sayormi_queen	10000
sayormi_cyrans	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:sayormi_cyrans	10000
forest_mouf	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:forest_mouf	10000
forest_outcast	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:forest_outcast	10000
forest_kerritamba	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:forest_kerritamba	10000
myyydril_nefarious	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:myyydril_nefarious	10000
myyydril_grievous	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:myyydril_grievous	10000
myyydril_eviserator	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:myyydril_eviserator	10000
forest_exemplar	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:forest_exemplar	10000
myyydril_deathswarm	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:myyydril_deathswarm	10000
forest_steelhoof	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:forest_steelhoof	10000
forest_vesad	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:forest_vesad	10000
forest_snake	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:forest_snake	10000
forest_warchief	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:forest_warchief	10000
avatar_trando	datatables/loot/dungeon/ep3_avatar_platform.iff:trando_fighters	500
avatar_wke	datatables/loot/dungeon/ep3_avatar_platform.iff:wke_fighters	500
avatar_trando_scale	datatables/loot/dungeon/ep3_avatar_platform.iff:trando_scale	2000
avatar_trando_cmd	datatables/loot/dungeon/ep3_avatar_platform.iff:trando_cmd	3500
avatar_commando	datatables/loot/dungeon/ep3_avatar_platform.iff:wke_commando	1500
avatar_harwakokok	datatables/loot/dungeon/ep3_avatar_platform.iff:wke_harwakokok	10000
wke_resistance_leader	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:wke_resistance	5000
wke_resistance_commando	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:wke_resistance	3000
wke_resistance	datatables/loot/creature_loot/kashyyyk/kashyyyk_creature_loot.iff:wke_resistance	1000
finned_blaggart	datatables/loot/creature_loot/elite_creature.iff:finned_blaggart	10000
mutant_acklay	datatables/loot/creature_loot/elite_creature.iff:mutant_acklay	10000
spiketail_blurrg	datatables/loot/creature_loot/elite_creature.iff:spiketail_blurrg	10000
syren_trando_boss	datatables/loot/dungeon/c_syren_3_trandoshans.iff:trando_boss	10000
mission_bounty1	datatables/loot/npc/mission_bounty.iff:bounty1	10000
	datatables/loot/npc/mission_bounty.iff:general	500
mission_bounty2	datatables/loot/npc/mission_bounty.iff:bounty2	10000
	datatables/loot/npc/mission_bounty.iff:general	4000
	datatables/loot/npc/mission_bounty.iff:gem	1000
	datatables/loot/npc/force_crystal.iff:generic	400
mission_bounty3	datatables/loot/npc/mission_bounty.iff:bounty3	10000
	datatables/loot/npc/mission_bounty.iff:general	2000
	datatables/loot/npc/mission_bounty.iff:armor	2000
	datatables/loot/npc/mission_bounty.iff:gem	1000
	datatables/loot/npc/force_crystal.iff:generic	500
mission_bounty4	datatables/loot/npc/mission_bounty.iff:bounty3	10000
	datatables/loot/npc/mission_bounty.iff:bounty4	3000
	datatables/loot/npc/mission_bounty.iff:armor	3500
	datatables/loot/npc/mission_bounty.iff:gem	1500
	datatables/loot/npc/mission_bounty.iff:general	1500
	datatables/loot/npc/force_crystal.iff:generic	500
mustafar_tulrus	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:tulrus	1000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_xandank	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:xandank	1000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_lava_beetle	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:lava_beetle	1000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:insect	5000
mustafar_blistmok	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:blistmok	1000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_lava_flea	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:lava_flea	1000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:insect	5000
mustafar_jundak	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:jundak	1000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_mustafarian_bandit	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:mustafarian_bandit	500
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:npc	5000
mustafar_orf_tulrus	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:orf_tulrus	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_orf_xandank	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:orf_xandank	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_lava_lizard	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:lava_lizard	1000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_eradicator	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:eradicator	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:droid	5000
mustafar_deathsting	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:deathsting	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:insect	5000
mustafar_scorching_terror	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:scorching_terror	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:insect	5000
mustafar_jundak_devourer	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:jundak_devourer	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_cinderclaw	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:cinderclaw	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_blistmok_trampler	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:blistmok_trampler	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_blistmok_shrieker	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:blistmok_shrieker	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_pulverizer	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:pulverizer	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:droid	5000
mustafar_voakar_duset	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:voakar_duset	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:npc	5000
mustafar_xandank_plated	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:xankdank_plated	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_xandank_patriarch	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:xandank_patriarch	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_tremor_foot	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:tremorfoot	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_tulrus_drenched	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:tulrus_drenched	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_flea_smoldering	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:lava_flea_smoldering	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:insect	5000
mustafar_ash_scale	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:ash_scale	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:creature	5000
mustafar_coyn_commander	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:coyn_commander	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:coyn_commander_drop	500
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:npc	5000
mustafar_storm_lord	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:storm_lord	10000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:npc	5000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:storm_lord_drop	10000
mustafar_droid	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:droid	5000
mustafar_npc	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:npc	5000
mustafar_sansii	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:blackguard_sansii_drop	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:blackguard_sansii_cube	10000
mustafar_vansk	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:blackguard_vansk_drop	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:blackguard_vansk_cube	10000
mustafar_narl	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:treasure_hunter_narl_drop	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:treasure_hunter_narl_cube	10000
mustafar_lislot	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:treasure_hunter_lislot_drop	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:treasure_hunter_lislot_cube	10000
mustafar_mustafarian_bandit_king	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:bandit_king	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:bandit_king_cube	10000
mustafar_storm_lord_prophet	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:storm_lord_prophet_drop	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:storm_lord_prophet_cube	10000
mustafar_coyn_captain	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:coyn_captain_drop	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:coyn_captain_cube	10000
mustafar_trial_sherkar	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:sher_kar_loot	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:sher_kar_loot_b	10000
mustafar_trial_factory_guardian	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:factory_guardian_loot	10000
mustafar_trial_forward_cmdr	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:forward_commander	10000
mustafar_trial_foreman	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:kubaza_foreman	10000
mustafar_trial_col_or5	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:colonel_or5_loot	10000
mustafar_trial_taskmaster	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:hk_taskmaster_loot	10000
mustafar_trial_akprime	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:ak_prime_loot	10000
mustafar_trial_cmdr_mk2	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:commander_mk2_loot	10000
mustafar_trial_cym	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:cym_prototype_loot	10000
mustafar_trial_oppressor	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:gk_oppressor_loot	10000
mustafar_trial_hk47	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:hk47_loot	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:hk47_yt2400	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:hk_47_cube	10000
mustafar_trial_devistator	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:devistator_loot	10000
mustafar_trial_engineer	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:master_droid_loot	10000
mustafar_trial_doombringer	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:doombringer_loot	10000
mustafar_sherkar_consort	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:sher_kar_consort	10000
mustafar_blackguard	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:blackguard	500
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:npc	5000
mustafar_treasure	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:treasure	500
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:npc	5000
mustafar_coyn	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:coyn	500
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:npc	5000
mustafar_ruins	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:ruins	500
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:npc	5000
mustafar_ruins_leader	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:ruins_leader	10000
mustafar_storm	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:storm	500
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:npc	5000
mustafar_sinistros	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:sinstros	10000
	datatables/loot/npc/dark_jedi.iff:dark_jedi2	10000
mustafar_sansii	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:blackguard_sansii_drop	500
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:npc	5000
mustafar_vansk	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:blackguard_vansk_drop	500
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:npc	5000
mustafar_narl	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:treasure_hunter_narl_drop	500
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:npc	5000
mustafar_lislot	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:treasure_hunter_lislot_drop	500
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:npc	5000
mustafar_mustafarian_bandit_king	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:bandit_king	1000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:npc	5000
mustafar_storm_lord_prophet	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:storm_lord_prophet_drop	1000
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:npc	5000
mustafar_coyn_captain	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:coyn_captain_drop	500
	datatables/loot/creature_loot/mustafar/mustafar_creature_loot.iff:npc	5000
mustafar_coyn_commander	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:coyn_commander_drop	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:coyn_commander_cube	10000
mustafar_storm_lord	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:storm_lord_drop	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:storm_lord_cube	10000
mustafar_droid	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:droid	5000
mustafar_npc	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:npc	5000
mustafar_sansii	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:blackguard_sansii_drop	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:blackguard_sansii_cube	10000
mustafar_vansk	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:blackguard_vansk_drop	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:blackguard_vansk_cube	10000
mustafar_narl	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:treasure_hunter_narl_drop	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:treasure_hunter_narl_cube	10000
mustafar_lislot	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:treasure_hunter_lislot_drop	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:treasure_hunter_lislot_cube	10000
mustafar_mustafarian_bandit_king	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:bandit_king	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:bandit_king_cube	10000
mustafar_storm_lord_prophet	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:storm_lord_prophet_drop	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:storm_lord_prophet_cube	10000
mustafar_coyn_captain	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:coyn_captain_drop	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:coyn_captain_cube	10000
mustafar_trial_sherkar	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:sher_kar_loot	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:sher_kar_loot_b	10000
mustafar_trial_factory_guardian	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:factory_guardian_loot	10000
mustafar_trial_forward_cmdr	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:forward_commander	10000
mustafar_trial_foreman	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:kubaza_foreman	10000
mustafar_trial_col_or5	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:colonel_or5_loot	10000
mustafar_trial_taskmaster	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:hk_taskmaster_loot	10000
mustafar_trial_akprime	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:ak_prime_loot	10000
mustafar_trial_cmdr_mk2	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:commander_mk2_loot	10000
mustafar_trial_cym	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:cym_prototype_loot	10000
mustafar_trial_oppressor	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:gk_oppressor_loot	10000
mustafar_trial_hk47	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:hk47_loot	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:hk47_yt2400	10000
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:hk_47_cube	10000
mustafar_trial_devistator	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:devistator_loot	10000
mustafar_trial_engineer	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:master_droid_loot	10000
mustafar_trial_doombringer	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:doombringer_loot	10000
mustafar_sherkar_consort	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:sher_kar_consort	10000
mustafar_blackguard	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:blackguard	500
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:npc	5000
mustafar_treasure	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:treasure	500
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:npc	5000
mustafar_coyn	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:coyn	500
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:npc	5000
mustafar_ruins	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:ruins	500
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:npc	5000
mustafar_ruins_leader	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:ruins_leader	10000
mustafar_storm	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:storm	500
	datatables/loot/creature_loot/mustafar/mustafar_npc_loot.iff:npc	5000
mustafar_sinistros	datatables/loot/creature_loot/mustafar/mustafar_npc_loot_b.iff:sinstros	10000
	datatables/loot/npc/dark_jedi.iff:dark_jedi2	10000
squill1	datatables/loot/npc/squill.iff:generic	8000
gorg1	datatables/loot/npc/gorg.iff:generic	8000
proboscis	datatables/loot/npc/insect.iff:generic	7000
npe_hutt_minion	datatables/loot/npc/npe.iff:hutt_minion	10000
npe_hutt_minion_access_code	datatables/loot/npc/npe.iff:hutt_minion_access_code	10000
npe_rakqua_warrior	datatables/loot/dungeon/npe_emergence.iff:npe_rakqua_warrior_loot	10000
npe_rakqua_bowman	datatables/loot/dungeon/npe_emergence.iff:npe_rakqua_bowman_loot	10000
npe_rakqua_rifle	datatables/loot/dungeon/npe_emergence.iff:npe_rakqua_rifle_loot	10000
npe_rakqua_shaman	datatables/loot/dungeon/npe_emergence.iff:npe_rakqua_shaman_loot	10000
npe_rakqua_witch	datatables/loot/dungeon/npe_emergence.iff:npe_rakqua_witch_loot	10000
npe_rakqua_guard	datatables/loot/dungeon/npe_emergence.iff:npe_rakqua_guard_loot	10000
npe_venomstriker	datatables/loot/dungeon/npe_emergence.iff:npe_venomstriker_loot	10000
npe_blightbane	datatables/loot/dungeon/npe_emergence.iff:npe_blightbane_loot	10000
npe_quietus	datatables/loot/dungeon/npe_emergence.iff:npe_quietus_loot	10000
npe_k3i_buzzer	datatables/loot/dungeon/npe_emergence.iff:npe_k3i_buzzer_loot	10000
npe_i10_probe	datatables/loot/dungeon/npe_emergence.iff:npe_i10_probe_loot	10000
npe_seekerdroid	datatables/loot/dungeon/npe_emergence.iff:npe_droid_seeker_loot	10000
npe_droid_espy	datatables/loot/dungeon/npe_emergence.iff:npe_droid_espy_loot	10000
npe_droid_rescind	datatables/loot/dungeon/npe_emergence.iff:npe_droid_rescind_loot	10000
npe_droid_4warning	datatables/loot/dungeon/npe_emergence.iff:npe_droid_4warning_loot	10000
npe_malevolence	datatables/loot/dungeon/npe_emergence.iff:npe_malevolence_loot	10000
	datatables/loot/dungeon/npe_emergence.iff:npe_malevolence_loot	10000
npe_rakqua_overlord	datatables/loot/dungeon/npe_emergence.iff:npe_overlord_loot	10000
	datatables/loot/dungeon/npe_emergence.iff:npe_overlord_loot	10000
npe_i7_construct	datatables/loot/dungeon/npe_emergence.iff:npe_construct_loot	10000
	datatables/loot/dungeon/npe_emergence.iff:npe_construct_loot	10000
npe_carax	datatables/loot/dungeon/npe_emergence.iff:npe_carax_loot	10000
	datatables/loot/dungeon/npe_emergence.iff:npe_carax_loot	10000
npe_widow	datatables/loot/dungeon/npe_emergence.iff:npe_widow_loot	10000
npe_droid_battle	datatables/loot/dungeon/npe_emergence.iff:npe_battle_loot	10000
npe_slicer	datatables/loot/dungeon/npe_station.iff:npe_slicer	10000
npe_slicer_boss	datatables/loot/dungeon/npe_station.iff:npe_slicer_boss	10000
npe_flyer	datatables/loot/dungeon/npe_station.iff:npe_flyer	10000
npe_flyer_boss	datatables/loot/dungeon/npe_station.iff:npe_flyer_boss	10000
npe_ground	datatables/loot/dungeon/npe_station.iff:npe_ground	10000
npe_ground_boss	datatables/loot/dungeon/npe_station.iff:npe_ground_boss	10000
npe_insect	datatables/loot/dungeon/npe_station.iff:npe_insect	10000
npe_insect_boss	datatables/loot/dungeon/npe_station.iff:npe_insect_boss	10000
npe_genesis	datatables/loot/dungeon/npe_station.iff:npe_genesis	10000
npe_genesis_boss	datatables/loot/dungeon/npe_station.iff:npe_genesis_boss	10000
npe_thug	datatables/loot/dungeon/npe_station.iff:npe_thug	10000
npe_thug_boss	datatables/loot/dungeon/npe_station.iff:npe_thug_boss	10000
npe_droid	datatables/loot/dungeon/npe_station.iff:npe_droid	10000
mandible	datatables/loot/npc/insect.iff:generic	7000
claw	datatables/loot/npc/insect.iff:generic	7000
nuna1	datatables/loot/npc/nuna.iff:nuna1	7000
nuna2	datatables/loot/npc/nuna.iff:nuna2	7000
gnort1	datatables/loot/npc/gnort.iff:gnort1	7000
generic_creature_1	datatables/loot/new_loot/generic_creature.iff:level1_10	5000
generic_creature_2	datatables/loot/new_loot/generic_creature.iff:level11_20	5000
generic_creature_3	datatables/loot/new_loot/generic_creature.iff:level21_30	5000
generic_creature_4	datatables/loot/new_loot/generic_creature.iff:level31_40	5000
generic_creature_5	datatables/loot/new_loot/generic_creature.iff:level41_50	5000
