generic_collectible	misc_collectible	dejarik_collectible	aurebesh_collectible	trinket_collectible	housing_collectible	contraband_collectible	imperial_officer_rank_collectible	rebel_officer_rank_collectible	imperial_logo_patch_collectible	rebel_logo_patch_collectible	holocron_jedi	holocron_sith	shard_collectible	damind_collectible	eralam_collectible	kasha_collectible	luxum_collectible	treasure_collectible	schematic_reward_01	schematic_reward_02	exar_collectible	space_booster_collectible	space_capacitor_collectible	space_engine_collectible	space_reactor_collectible	space_collectible
col_nightsister_broach_02_01	col_aurebesh_tile_cherek_02_01				item_collection_housing_improvement_05_07		col_imperial_rank_cpt_01_01	col_rebel_rank_cpt_01_01	col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05																space_collection_capacitor_mark_01_novaldex
col_nightsister_earrings_02_01	col_aurebesh_tile_cresh_02_01				item_collection_housing_improvement_05_08		col_imperial_rank_maj_01_01	col_rebel_rank_maj_01_01	col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06																space_collection_capacitor_mark_01_qualdex
col_nightsister_pendant_02_01	col_aurebesh_tile_dorn_02_01				item_collection_housing_improvement_05_09		col_imperial_rank_ltcol_01_01	col_rebel_rank_com_01_01	col_imperial_logo_patch_01_07	col_rebel_logo_patch_01_07																space_collection_capacitor_mark_02_corellian
col_nightsister_ring_02_01	col_aurebesh_tile_enth_02_01				item_collection_housing_improvement_05_10		col_imperial_rank_col_01_01	col_rebel_rank_col_01_01	col_imperial_logo_patch_01_08	col_rebel_logo_patch_01_08																space_collection_capacitor_mark_02_incom
col_tusken_bantha_braid_02_01	col_aurebesh_tile_esk_02_01						col_imperial_rank_gen_01_01	col_rebel_rank_gen_01_01	col_imperial_logo_patch_01_09	col_rebel_logo_patch_01_09																space_collection_capacitor_mark_02_koensayr
col_tusken_gaderffi_02_01	col_aurebesh_tile_forn_02_01								col_imperial_logo_patch_01_10	col_rebel_logo_patch_01_10																space_collection_capacitor_mark_02_kse
col_tusken_hubba_gourd_02_01	col_aurebesh_tile_grek_02_01																									space_collection_capacitor_mark_02_mandal
col_tusken_massif_thorn_02_01	col_aurebesh_tile_herf_02_01																									space_collection_capacitor_mark_02_moncal
col_tusken_metal_02_01	col_aurebesh_tile_isk_02_01																									space_collection_capacitor_mark_02_novaldex
col_tusken_spirit_mask_02_01	col_aurebesh_tile_jenth_02_01																									space_collection_capacitor_mark_02_qualdex
col_tusken_womp_rat_tusk_02_01	col_aurebesh_tile_kerenth_02_01																									space_collection_capacitor_mark_03_corellian
col_dejarik_battery_02_01	col_aurebesh_tile_krill_02_01																									space_collection_capacitor_mark_03_incom
col_dejarik_board_02_01	col_aurebesh_tile_leth_02_01																									space_collection_capacitor_mark_03_koensayr
col_dejarik_ghhhk_02_01	col_aurebesh_tile_mern_02_01																									space_collection_capacitor_mark_03_kse
col_dejarik_grimtaash_02_01	col_aurebesh_tile_nen_02_01																									space_collection_capacitor_mark_03_mandal
col_dejarik_holoprojector_02_01	col_aurebesh_tile_nern_02_01																									space_collection_capacitor_mark_03_moncal
col_dejarik_houjix_02_01	col_aurebesh_tile_onith_02_01																									space_collection_capacitor_mark_03_novaldex
col_dejarik_keypad_02_01	col_aurebesh_tile_orenth_02_01																									space_collection_capacitor_mark_03_qualdex
col_dejarik_keypad_02_02	col_aurebesh_tile_osk_02_01																									space_collection_capacitor_mark_04_corellian
col_dejarik_kintan_02_01	col_aurebesh_tile_peth_02_01																									space_collection_capacitor_mark_04_incom
col_dejarik_klorslug_02_01	col_aurebesh_tile_qek_02_01																									space_collection_capacitor_mark_04_koensayr
col_dejarik_mantellian_02_01	col_aurebesh_tile_resh_02_01																									space_collection_capacitor_mark_04_kse
col_dejarik_monnok_02_01	col_aurebesh_tile_senth_02_01																									space_collection_capacitor_mark_04_mandal
col_dejarik_ngok_02_01	col_aurebesh_tile_shen_02_01																									space_collection_capacitor_mark_04_moncal
col_dejarik_table_base_02_01	col_aurebesh_tile_thesh_02_01																									space_collection_capacitor_mark_04_novaldex
col_dejarik_table_stand_02_01	col_aurebesh_tile_trill_02_01																									space_collection_capacitor_mark_04_qualdex
col_treasure_hunter_dolovite_mask_02_01	col_aurebesh_tile_usk_02_01																									space_collection_capacitor_mark_05_corellian
col_treasure_hunter_hendanyn_mask_02_01	col_aurebesh_tile_vev_02_01																									space_collection_capacitor_mark_05_incom
col_treasure_hunter_mandalore_mask_02_01	col_aurebesh_tile_wesk_02_01																									space_collection_capacitor_mark_05_koensayr
col_treasure_hunter_sith_mask_02_01	col_aurebesh_tile_xesh_02_01																									space_collection_capacitor_mark_05_kse
col_dooku_datadisk_02_01	col_aurebesh_tile_yirt_02_01																									space_collection_capacitor_mark_05_mandal
col_dooku_datadisk_02_02	col_aurebesh_tile_zerek_02_01																									space_collection_capacitor_mark_05_moncal
col_dooku_datadisk_02_03	col_nightsister_bracelet_02_01																									space_collection_capacitor_mark_05_novaldex
col_dooku_datadisk_02_04	col_nightsister_broach_02_01																									space_collection_capacitor_mark_05_qualdex
col_dooku_datadisk_02_05	col_nightsister_earrings_02_01																									space_collection_engine_mark_01_cygnus
col_shattered_shard_unknown_02_01	col_nightsister_pendant_02_01																									space_collection_engine_mark_01_incom
col_shattered_shard_unknown_02_02	col_nightsister_ring_02_01																									space_collection_engine_mark_01_koensayr
col_shattered_shard_unknown_02_03	col_tusken_bantha_braid_02_01																									space_collection_engine_mark_01_kse
col_shattered_shard_unknown_02_04	col_tusken_gaderffi_02_01																									space_collection_engine_mark_01_mandal
col_shattered_shard_unknown_02_05	col_tusken_hubba_gourd_02_01																									space_collection_engine_mark_01_moncal
col_shattered_shard_unknown_02_06	col_tusken_massif_thorn_02_01																									space_collection_engine_mark_01_novaldex
col_shattered_shard_unknown_02_07	col_tusken_metal_02_01																									space_collection_engine_mark_01_qualdex
col_shattered_shard_unknown_02_08	col_tusken_spirit_mask_02_01																									space_collection_engine_mark_02_cygnus
col_shattered_shard_unknown_02_09	col_tusken_womp_rat_tusk_02_01																									space_collection_engine_mark_02_incom
col_shattered_shard_unknown_02_10	col_treasure_hunter_dolovite_mask_02_01																									space_collection_engine_mark_02_koensayr
col_damind_shard_02_01	col_treasure_hunter_hendanyn_mask_02_01																									space_collection_engine_mark_02_kse
col_damind_shard_02_02	col_treasure_hunter_mandalore_mask_02_01																									space_collection_engine_mark_02_mandal
col_damind_shard_02_03	col_treasure_hunter_sith_mask_02_01																									space_collection_engine_mark_02_moncal
col_damind_shard_02_04	col_gulginaw_feather_02_01																									space_collection_engine_mark_02_novaldex
col_damind_shard_02_05	col_kai_tok_feather_02_01																									space_collection_engine_mark_02_qualdex
col_eralam_shard_02_01	col_mantigrue_feather_02_01																									space_collection_engine_mark_03_cygnus
col_eralam_shard_02_02	col_peko_peko_feather_02_01																									space_collection_engine_mark_03_incom
col_eralam_shard_02_03	col_perlek_feather_02_01																									space_collection_engine_mark_03_koensayr
col_eralam_shard_02_04	col_whisper_bird_feather_02_01																									space_collection_engine_mark_03_kse
col_eralam_shard_02_05	col_rancor_bone_02_01																									space_collection_engine_mark_03_mandal
col_kasha_shard_02_01	col_rancor_entrails_02_01																									space_collection_engine_mark_03_moncal
col_kasha_shard_02_02	col_rancor_eye_02_01																									space_collection_engine_mark_03_novaldex
col_kasha_shard_02_03	col_rancor_fang_02_01																									space_collection_engine_mark_03_qualdex
col_kasha_shard_02_04	col_rancor_finger_02_01																									space_collection_engine_mark_04_cygnus
col_kasha_shard_02_05																										space_collection_engine_mark_04_incom
col_luxum_shard_02_01																										space_collection_engine_mark_04_koensayr
col_luxum_shard_02_02																										space_collection_engine_mark_04_kse
col_luxum_shard_02_03																										space_collection_engine_mark_04_mandal
col_luxum_shard_02_04																										space_collection_engine_mark_04_moncal
col_luxum_shard_02_05																										space_collection_engine_mark_04_novaldex
col_trader_eng_head_02_01																										space_collection_engine_mark_04_qualdex
col_trader_eng_left_arm_02_01																										space_collection_engine_mark_05_cygnus
col_trader_eng_left_leg_02_01																										space_collection_engine_mark_05_incom
col_trader_eng_right_arm_02_01																										space_collection_engine_mark_05_koensayr
col_trader_eng_right_leg_02_01																										space_collection_engine_mark_05_kse
col_trader_eng_stand_base_02_01																										space_collection_engine_mark_05_mandal
col_trader_eng_torso_02_01																										space_collection_engine_mark_05_moncal
col_trader_mun_head_02_01																										space_collection_engine_mark_05_novaldex
col_trader_mun_left_arm_02_01																										space_collection_engine_mark_05_qualdex
col_trader_mun_left_leg_02_01																										space_collection_reactor_mark_01_cygnus
col_trader_mun_right_arm_02_01																										space_collection_reactor_mark_01_freitek
col_trader_mun_right_leg_02_01																										space_collection_reactor_mark_01_incom
col_trader_mun_stand_base_02_01																										space_collection_reactor_mark_01_koensayr
col_trader_mun_torso_02_01																										space_collection_reactor_mark_01_kse
item_collection_jedi_holocron_01_01																										space_collection_reactor_mark_01_mandal
item_collection_jedi_holocron_01_02																										space_collection_reactor_mark_01_seinar
item_collection_jedi_holocron_01_03																										space_collection_reactor_mark_01_subpro
item_collection_jedi_holocron_01_04																										space_collection_reactor_mark_02_cygnus
item_collection_jedi_holocron_01_05																										space_collection_reactor_mark_02_freitek
item_collection_jedi_holocron_02_01																										space_collection_reactor_mark_02_incom
item_collection_jedi_holocron_02_02																										space_collection_reactor_mark_02_koensayr
item_collection_jedi_holocron_02_03																										space_collection_reactor_mark_02_kse
item_collection_jedi_holocron_02_04																										space_collection_reactor_mark_02_mandal
item_collection_jedi_holocron_02_05																										space_collection_reactor_mark_02_seinar
item_collection_sith_holocron_01_01																										space_collection_reactor_mark_02_subpro
item_collection_sith_holocron_01_02																										space_collection_reactor_mark_03_cygnus
item_collection_sith_holocron_01_03																										space_collection_reactor_mark_03_freitek
item_collection_sith_holocron_01_04																										space_collection_reactor_mark_03_incom
item_collection_sith_holocron_01_05																										space_collection_reactor_mark_03_koensayr
item_collection_sith_holocron_02_01																										space_collection_reactor_mark_03_kse
item_collection_sith_holocron_02_02																										space_collection_reactor_mark_03_mandal
item_collection_sith_holocron_02_03																										space_collection_reactor_mark_03_seinar
item_collection_sith_holocron_02_04																										space_collection_reactor_mark_03_subpro
item_collection_sith_holocron_02_05																										space_collection_reactor_mark_04_cygnus
item_collection_housing_improvement_01_01																										space_collection_reactor_mark_04_freitek
item_collection_housing_improvement_01_02																										space_collection_reactor_mark_04_incom
item_collection_housing_improvement_01_03																										space_collection_reactor_mark_04_koensayr
item_collection_housing_improvement_01_04																										space_collection_reactor_mark_04_kse
item_collection_housing_improvement_01_05																										space_collection_reactor_mark_04_mandal
item_collection_housing_improvement_01_06																										space_collection_reactor_mark_04_seinar
item_collection_housing_improvement_01_07																										space_collection_reactor_mark_04_subpro
item_collection_housing_improvement_01_08																										space_collection_reactor_mark_05_cygnus
item_collection_housing_improvement_01_09																										space_collection_reactor_mark_05_freitek
item_collection_housing_improvement_01_10																										space_collection_reactor_mark_05_incom
item_collection_housing_improvement_02_01																										space_collection_reactor_mark_05_koensayr
item_collection_housing_improvement_02_02																										space_collection_reactor_mark_05_kse
item_collection_housing_improvement_02_03																										space_collection_reactor_mark_05_mandal
item_collection_housing_improvement_02_04																										space_collection_reactor_mark_05_seinar
item_collection_housing_improvement_02_05																										space_collection_reactor_mark_05_subpro
item_collection_housing_improvement_02_06																										
item_collection_housing_improvement_02_07																										
item_collection_housing_improvement_02_08																										
item_collection_housing_improvement_02_09																										
item_collection_housing_improvement_02_10																										
item_collection_housing_improvement_03_01																										
item_collection_housing_improvement_03_02																										
item_collection_housing_improvement_03_03																										
item_collection_housing_improvement_03_04																										
item_collection_housing_improvement_03_05																										
item_collection_housing_improvement_03_06																										
item_collection_housing_improvement_03_07																										
item_collection_housing_improvement_03_08																										
item_collection_housing_improvement_03_09																										
item_collection_housing_improvement_03_10
item_collection_housing_improvement_04_01
item_collection_housing_improvement_04_02
item_collection_housing_improvement_04_03
item_collection_housing_improvement_04_04
item_collection_housing_improvement_04_05
item_collection_housing_improvement_04_06
item_collection_housing_improvement_04_07
item_collection_housing_improvement_04_08
item_collection_housing_improvement_04_09
item_collection_housing_improvement_04_10
item_collection_housing_improvement_05_01
item_collection_housing_improvement_05_02
item_collection_housing_improvement_05_03
item_collection_housing_improvement_05_04
item_collection_housing_improvement_05_05
item_collection_housing_improvement_05_06
item_collection_housing_improvement_05_07
item_collection_housing_improvement_05_08
item_collection_housing_improvement_05_09
item_collection_housing_improvement_05_10
col_kill_gurk_activation_02_01
col_kill_tulrus_activation_02_01
col_tusken_bantha_bracelet_02_01
col_tusken_talisman_02_01
col_kill_kliknik_activation_02_01
col_bondar_shard_02_01
col_bondar_shard_02_02
col_bondar_shard_02_03
col_bondar_shard_02_04
col_bondar_shard_02_05
col_contraband1_item_02_01
col_contraband1_item_02_02
col_contraband1_item_02_03
col_contraband1_item_02_04
col_contraband1_item_02_05
col_contraband2_item_02_01
col_contraband2_item_02_02
col_contraband2_item_02_03
col_contraband2_item_02_04
col_contraband2_item_02_05
col_contraband3_item_02_01
col_contraband3_item_02_02
col_contraband3_item_02_03
col_contraband3_item_02_04
col_contraband3_item_02_05
col_contraband4_item_02_01
col_contraband4_item_02_02
col_contraband4_item_02_03
col_contraband4_item_02_04
col_contraband4_item_02_05
col_contraband5_item_02_01
col_contraband5_item_02_02
col_contraband5_item_02_03
col_contraband5_item_02_04
col_contraband5_item_02_05
col_treasure_hunter_antique_melee_02_01
col_treasure_hunter_antique_pistol_02_01
col_treasure_hunter_antique_carbine_02_01
col_treasure_hunter_antique_rifle_02_01
col_treasure_hunter_oval_gem_02_01
col_treasure_hunter_oval_gem_02_02
col_treasure_hunter_oval_gem_02_03
col_treasure_hunter_oval_gem_02_04
col_treasure_hunter_trilliant_gem_02_01
col_treasure_hunter_trilliant_gem_02_02
col_treasure_hunter_trilliant_gem_02_03
col_treasure_hunter_trilliant_gem_02_04
col_glass_shelf_02_01
col_glass_shelf_02_02
col_glass_shelf_02_03
col_glass_shelf_02_04
col_glass_shelf_02_05
col_pristine_bone_02_01
col_pristine_hide_02_01
col_pristine_meat_02_01
col_pristine_egg_02_01
col_pristine_milk_02_01
col_heroic_exar_kun_lost_journal_02_01
col_heroic_exar_kun_lost_journal_02_02
col_heroic_exar_kun_lost_journal_02_03
col_heroic_exar_kun_lost_journal_02_04
col_heroic_exar_kun_lost_journal_02_05
col_heroic_exar_kun_lost_journal_02_06
col_heroic_exar_kun_lost_journal_02_07
col_heroic_exar_kun_lost_journal_02_08
